Target,Race,Gender,Age
AF-200,A,F,32.57142857
AF-201,A,F,23.66666667
AF-202,A,F,24.44827586
AF-203,A,F,22.75862069
AF-204,A,F,30.13793103
AF-205,A,F,26.59259259
AF-206,A,F,26.52380952
AF-207,A,F,28.4137931
AF-208,A,F,28.53846154
AF-209,A,F,22.56
AF-210,A,F,23.53846154
AF-211,A,F,22.5
AF-212,A,F,23.85714286
AF-213,A,F,40.18181818
AF-214,A,F,26.84615385
AF-215,A,F,30.44444444
AF-216,A,F,25.93333333
AF-217,A,F,19.70833333
AF-218,A,F,24.03571429
AF-219,A,F,25.10714286
AF-220,A,F,25.26086957
AF-221,A,F,25.62962963
AF-222,A,F,24.86206897
AF-223,A,F,44.80769231
AF-224,A,F,28.76
AF-225,A,F,22.14285714
AF-226,A,F,29.24
AF-227,A,F,27.11538462
AF-228,A,F,24.76923077
AF-229,A,F,25.85185185
AF-230,A,F,24.14814815
AF-231,A,F,46.58333333
AF-232,A,F,29.69230769
AF-233,A,F,22.39285714
AF-234,A,F,24.2962963
AF-235,A,F,23.5
AF-236,A,F,37.66666667
AF-237,A,F,30.51851852
AF-238,A,F,37.55555556
AF-239,A,F,28.2962963
AF-240,A,F,27.27586207
AF-241,A,F,31.875
AF-242,A,F,27.03571429
AF-243,A,F,26.75862069
AF-244,A,F,29.20833333
AF-245,A,F,30.22222222
AF-246,A,F,25
AF-247,A,F,25.96428571
AF-248,A,F,34.17241379
AF-249,A,F,26
AF-250,A,F,25.10344828
AF-251,A,F,22.64285714
AF-252,A,F,22.34482759
AF-253,A,F,25.55172414
AF-254,A,F,37.12
AF-255,A,F,26
AF-256,A,F,24
AM-201,A,M,23.8
AM-202,A,M,26.22222222
AM-203,A,M,26.54166667
AM-204,A,M,23.91666667
AM-205,A,M,34.83333333
AM-206,A,M,26.92857143
AM-207,A,M,25.91666667
AM-208,A,M,23.32142857
AM-209,A,M,27.75
AM-210,A,M,21.04761905
AM-211,A,M,26.32142857
AM-212,A,M,25.55555556
AM-213,A,M,28.07142857
AM-214,A,M,29.22222222
AM-215,A,M,56.38461538
AM-216,A,M,28.48
AM-217,A,M,43
AM-218,A,M,33.59259259
AM-219,A,M,36.9
AM-220,A,M,23.79310345
AM-221,A,M,24.11538462
AM-223,A,M,21.92592593
AM-224,A,M,28.96
AM-225,A,M,24.68
AM-226,A,M,46.81818182
AM-227,A,M,41.42307692
AM-228,A,M,25.32142857
AM-229,A,M,24.76923077
AM-230,A,M,28.95454545
AM-231,A,M,26.93103448
AM-232,A,M,27.30769231
AM-233,A,M,41.17857143
AM-234,A,M,27.26923077
AM-235,A,M,35.16
AM-236,A,M,31.75
AM-237,A,M,29.44
AM-238,A,M,27.42307692
AM-239,A,M,35.6
AM-240,A,M,34.42307692
AM-241,A,M,37.38461538
AM-242,A,M,29.36
AM-243,A,M,23.88
AM-244,A,M,25.67857143
AM-245,A,M,25.73076923
AM-246,A,M,29.07142857
AM-247,A,M,35.875
AM-248,A,M,33.84615385
AM-249,A,M,23.66666667
AM-250,A,M,25.88461538
AM-251,A,M,28.65384615
AM-252,A,M,23.32
AM-253,A,M,25.03448276
BF-001,B,F,28.49438202
BF-002,B,F,21.34408602
BF-003,B,F,25.80898876
BF-004,B,F,26.98369565
BF-005,B,F,28.12087912
BF-006,B,F,27.92631579
BF-007,B,F,30.51086957
BF-008,B,F,24.57471264
BF-009,B,F,30.07446809
BF-010,B,F,29.2
BF-011,B,F,28.58510638
BF-012,B,F,26.77659574
BF-013,B,F,18.31521739
BF-014,B,F,27.22988506
BF-015,B,F,29.53608247
BF-016,B,F,27.09302326
BF-017,B,F,34.26966292
BF-018,B,F,26.9010989
BF-019,B,F,29.7032967
