def_id,study1_image_id,study2_image_id_black,study2_image_id_white
61, BF-211, BF-211, WF-237
855, BM-033, BM-025, WM-201
921, BM-017, BM-022, WM-016
1022, BF-007, BF-007, WF-002
1024, BM-005, BM-013, WM-015
1441, BM-011, BM-018, WM-013
1443, BM-021, BM-033, WM-220
1642, WM-012, BM-004, WM-002
1733, WF-221, BF-224, WF-240
1741, BM-015, BM-005, WM-009
2182, BF-003, BF-003, WF-003
2393, BM-019, BM-015, WM-017
2719, BM-001, BM-003, WM-006
2910, WM-201, BM-021, WM-023
3115, BF-213, BF-024, WF-014
3398, BM-036, BM-037, WM-025
3635, BF-001, BF-001, WF-001
3732, BM-003, BM-010, WM-010
3957, LM-206, BM-010, WM-010
4105, WM-013, BM-017, WM-012
4766, WM-003, BM-001, WM-003
4767, WM-023, BM-025, WM-201
4841, WM-221, BM-034, WM-221
5438, BM-009, BM-009, WM-001
5557, BM-212, BM-212, WM-223
5593, WM-018, BM-021, WM-023
5647, BF-024, BF-024, WF-014
6064, WF-002, BF-007, WF-002
7324, WM-014, BM-020, WM-014
7412, WM-006, BM-016, WM-019
7652, BM-002, BM-005, WM-009
7678, BM-016, BM-013, WM-015
8104, BF-202, BF-202, WF-216
8141, WM-001, BM-036, WM-024
8267, BM-034, BM-034, WM-221
8307, BF-203, BF-203, WF-221
8517, BM-013, BM-002, WM-004
8613, WM-011, BM-017, WM-012
8827, LM-200, BM-002, WM-004
8938, BF-224, BF-203, WF-221
9295, LM-201, BM-011, WM-011
9435, WM-004, BM-003, WM-006
9501, LM-215, BM-033, WM-220
9644, BM-010, BM-001, WM-003
9924, WM-002, BM-004, WM-002
10011, BM-025, BM-012, WM-018
10044, WM-016, BM-029, WM-020
10307, BM-004, BM-011, WM-011
10406, BM-012, BM-012, WM-018
10452, BF-027, BF-027, WF-026
282, WM-220, BM-033, WM-220
375, WM-002, BM-011, WM-011
408, WF-005, BF-005, WF-006
726, WM-012, BM-004, WM-002
794, BM-018, BM-022, WM-016
838, BM-025, BM-044, WM-225
913, BM-004, BM-004, WM-002
1066, WM-023, BM-021, WM-023
1103, BM-002, BM-002, WM-004
1195, BF-024, BF-024, WF-014
1361, BM-019, BM-010, WM-010
1490, BM-020, BM-011, WM-011
1941, BM-003, BM-003, WM-006
2002, WM-221, BM-213, WM-248
2034, WM-201, BM-012, WM-018
2525, WM-003, BM-002, WM-004
2703, BM-218, BM-218, WM-249
3010, empty,NA,NA
3248, empty,NA,NA
3647, BM-009, BM-009, WM-001
3854, BM-001, BM-001, WM-003
4098, BM-015, BM-015, WM-017
4161, BM-225, BM-225,NA
4546, BM-011, BM-017, WM-012
4629, WM-223, BM-034, WM-221
4640, BM-013, BM-013, WM-015
4860, BF-001, BF-001, WF-001
4943, BM-034, BM-034, WM-221
4977, WM-018, BM-012, WM-018
4991, empty,NA,NA
5049, WF-003, BF-004, WF-005
5270, BM-022, BM-018, WM-013
5500, empty,NA,NA
5765, BM-212, BM-212, WM-223
6189, WF-221, BF-203, WF-221
6207, BM-021, BM-025, WM-201
6240, BM-213, BM-212, WM-223
6884, WM-013, BM-017, WM-012
7032, empty,NA,NA
7834, BM-017, BM-020, WM-014
7897, WF-001, BF-003, WF-003
7920, BM-005, BM-005, WM-009
8046, BM-010, BM-010, WM-010
8162, AM-215, BM-213, WM-248
9407, BM-012, BM-021, WM-023
9634, LM-200, BM-001, WM-003
10220, BM-016, BM-005, WM-009
10423, WM-004, BM-003, WM-006
10502, WM-011, BM-018, WM-013
10748, WM-225, BM-206, WM-258
505, BM-020, BM-018, WM-013
526, WF-022, BF-002, WF-022
999, WM-018, BM-012, WM-018
1159, BF-203, BF-203, WF-221
1286, WM-015, BM-010, WM-010
1833, AM-201, BM-002, WM-004
2338, empty,NA,NA
2572, BF-005, BF-005, WF-006
2624, BM-034, BM-034, WM-221
2685, BF-002, BF-002, WF-022
2691, BM-213, BM-213, WM-248
3234, WM-225, BM-025, WM-201
3510, WM-220, BM-021, WM-023
3768, BF-024, BF-024, WF-014
4029, LM-206, BM-003, WM-006
4082, WM-004, BM-005, WM-009
4126, BM-017, BM-017, WM-012
4426, WF-014, BF-027, WF-026
4461, empty,NA,NA
4620, WM-023, BM-021, WM-023
4703, LM-208, BM-001, WM-003
5213, LM-201, BM-017, WM-012
5217, BM-012, BM-012, WM-018
5352, BM-002, BM-003, WM-006
5607, WM-201, BM-025, WM-201
5614, BM-004, BM-004, WM-002
5917, BM-018, BM-011, WM-011
6314, WM-001, BM-009, WM-001
6683, BF-001, BF-001, WF-001
7010, BM-218, BM-218, WM-249
7079, WM-006, BM-010, WM-010
7170, WM-010, BM-016, WM-019
7219, BM-032, BM-029, WM-020
7224, BM-003, BM-005, WM-009
7315, BM-001, BM-015, WM-017
7416, LM-200, BM-001, WM-003
7840, WM-009, BM-013, WM-015
8099, WM-003, BM-002, WM-004
8528, BM-029, BM-022, WM-016
8909, WM-221, BM-225,NA
9428, WM-223, BM-034, WM-221
9690, BF-004, BF-004, WF-005
9844, WM-248, BM-212, WM-223
9889, BM-011, BM-011, WM-011
10390, WM-002, BM-004, WM-002
10448, BM-212, BM-212, WM-223
10762, LF-201, BF-001, WF-001
10783, empty,NA,NA
10824, BF-003, BF-003, WF-003
10919, BM-022, BM-020, WM-014
42, BM-020, BM-018, WM-013
685, BF-211, BF-203, WF-221
853, BM-034, BM-034, WM-221
1162, BM-005, BM-005, WM-009
1166, BM-019, BM-003, WM-006
1385, BM-002, BM-002, WM-004
1856, WM-024, BM-036, WM-024
2228, BM-009, BM-009, WM-001
2773, BF-203, BF-203, WF-221
3315, empty,NA,NA
3738, WM-003, BM-013, WM-015
3794, BM-212, BM-212, WM-223
3848, BM-013, BM-023, WM-028
4117, WF-237, BF-211, WF-237
4193, LM-215, BM-012, WM-018
4290, BM-011, BM-004, WM-002
4558, WM-002, BM-004, WM-002
5127, WF-001, BF-001, WF-001
5449, WM-011, BM-011, WM-011
5489, BM-003, BM-003, WM-006
5830, WM-004, BM-019, WM-026
5985, empty,NA,NA
6171, BF-027, BF-202, WF-216
6386, LM-200, BM-015, WM-017
6546, LM-206, BM-016, WM-019
7199, BM-026, BM-013, WM-015
