"","feature(race-gender-age)","defendant_id","image_id","index_per_block","block"
"1","2-0-1","22","BM-001",1,10
"2","2-0-2","42","BM-004",1,4
"3","2-1-4","61","BF-203",1,1
"4","2-0-2","67","BM-004",1,16
"5","2-0-2","70","BM-004",1,15
"6","2-0-1","98","BM-001",1,14
"7","3-0-4","101","LM-203",1,19
"8","2-1-1","115","BF-001",1,5
"9","2-0-2","122","BM-004",1,8
"10","1-1-3","154","WF-014",1,18
"11","1-0-1","156","WM-003",1,17
"12","1-0-4","163","WM-223",1,12
"13","2-0-2","173","BM-004",1,20
"14","1-0-4","189","WM-223",1,8
"15","2-1-1","203","BF-001",1,20
"16","1-1-2","206","WF-002",1,6
"17","1-0-4","208","WM-223",1,10
"18","2-0-2","210","BM-004",1,13
"19","2-0-2","215","BM-004",1,12
"20","1-1-4","222","WF-240",1,17
"21","2-1-2","227","BF-007",1,6
"22","2-0-1","265","BM-001",1,8
"23","3-0-4","266","LM-203",1,11
"24","2-0-4","277","BM-225",1,14
"25","3-0-4","279","LM-222",2,11
"26","1-0-4","282","WM-223",1,2
"27","1-0-4","319","WM-223",1,18
"28","2-0-3","320","BM-012",1,19
"29","2-1-2","332","BF-007",1,7
"30","1-0-4","363","WM-249",2,8
"31","2-0-1","364","BM-001",1,18
"32","1-0-1","366","WM-003",1,13
"33","1-0-2","375","WM-002",1,2
"34","2-1-1","400","BF-001",1,18
"35","1-1-1","408","WF-001",1,2
"36","2-1-0","446","BF-002",1,17
"37","2-0-0","469","BM-009",1,11
"38","2-0-0","480","BM-009",1,10
"39","2-0-2","505","BM-004",1,3
"40","3-0-4","510","LM-203",1,12
"41","1-1-0","526","WF-022",1,3
"42","2-1-1","533","BF-001",1,16
"43","1-0-1","552","WM-003",1,6
"44","2-0-2","603","BM-011",2,12
"45","1-1-3","622","WF-014",1,14
"46","2-0-0","640","BM-009",1,16
"47","3-0-4","646","LM-203",1,16
"48","2-0-4","648","BM-225",1,11
"49","1-0-2","654","WM-002",1,16
"50","2-1-1","657","BF-001",1,10
"51","2-1-4","685","BF-203",1,4
"52","2-0-2","692","BM-011",2,16
"53","2-0-1","700","BM-001",1,7
"54","1-0-2","726","WM-011",2,2
"55","3-0-2","728","LM-201",1,15
"56","4-0-2","730","AM-205",1,9
"57","2-0-2","754","BM-004",1,14
"58","3-0-1","763","LM-200",1,8
"59","2-0-4","765","BM-225",1,8
"60","3-0-2","787","LM-201",1,19
"61","2-0-2","794","BM-004",1,2
"62","2-0-4","800","BM-225",1,6
"63","1-0-1","807","WM-003",1,9
"64","1-0-1","829","WM-003",1,8
"65","1-0-4","837","WM-223",1,19
"66","2-0-4","838","BM-225",1,2
"67","2-0-4","844","BM-244",2,14
"68","2-0-4","853","BM-225",1,4
"69","2-0-3","855","BM-012",1,1
"70","1-0-3","863","WM-018",1,15
"71","2-0-2","887","BM-017",3,12
"72","3-0-2","893","LM-201",1,6
"73","2-0-2","913","BM-011",2,2
"74","3-0-3","919","LM-204",1,9
"75","2-0-2","921","BM-004",1,1
"76","2-0-1","934","BM-001",1,15
"77","1-1-1","947","WF-001",1,18
"78","2-0-1","956","BM-002",2,8
"79","1-0-1","963","WM-003",1,15
"80","1-1-4","990","WF-240",1,15
"81","1-0-3","999","WM-018",1,3
"82","3-0-1","1004","LM-200",1,17
"83","2-1-2","1022","BF-007",1,1
"84","2-0-1","1024","BM-001",1,1
"85","3-0-2","1032","LM-201",1,7
"86","2-0-3","1044","BM-012",1,5
"87","2-0-1","1059","BM-001",1,5
"88","1-0-3","1066","WM-018",1,2
"89","2-0-1","1103","BM-001",1,2
"90","1-1-1","1128","WF-001",1,14
"91","1-0-2","1130","WM-002",1,5
"92","2-1-2","1144","BF-007",1,13
"93","2-0-1","1146","BM-001",1,19
"94","1-1-0","1153","WF-022",1,17
"95","5-0-1","1157",NA,1,11
"96","2-1-4","1159","BF-203",1,3
"97","2-1-1","1160","BF-003",2,5
"98","2-0-1","1162","BM-001",1,4
"99","2-0-1","1166","BM-002",2,4
"100","1-0-1","1191","WM-003",1,11
"101","2-1-3","1195","BF-024",1,2
"102","1-0-2","1196","WM-002",1,15
"103","2-1-1","1212","BF-001",1,9
"104","3-0-4","1215","LM-203",1,20
"105","1-0-1","1216","WM-003",1,20
"106","2-0-2","1240","BM-004",1,19
"107","1-0-2","1241","WM-011",2,15
"108","1-0-4","1244","WM-223",1,13
"109","2-0-2","1250","BM-011",2,14
"110","2-0-0","1283","BM-009",1,20
"111","1-0-1","1286","WM-003",1,3
"112","1-1-0","1300","WF-022",1,10
"113","2-0-2","1314","BM-004",1,9
"114","2-1-4","1325","BF-203",1,14
"115","1-0-1","1329","WM-004",2,17
"116","2-0-1","1331","BM-001",1,20
"117","3-0-1","1343","LM-200",1,19
"118","2-0-1","1361","BM-002",2,2
"119","2-0-1","1385","BM-003",3,4
"120","2-0-4","1397","BM-225",1,18
"121","3-0-4","1430","LM-203",1,14
"122","2-0-2","1441","BM-011",2,1
"123","2-0-4","1443","BM-225",1,1
"124","1-0-2","1446","WM-002",1,9
"125","1-1-0","1452","WF-022",1,15
"126","2-0-2","1467","BM-018",4,12
"127","2-0-2","1490","BM-017",3,2
"128","2-0-1","1522","BM-002",2,10
"129","2-0-3","1526","BM-012",1,17
"130","3-0-4","1530","LM-203",1,13
"131","3-0-4","1532","LM-222",2,19
"132","3-0-4","1553","LM-203",1,18
"133","1-0-1","1559","WM-004",2,9
"134","3-0-1","1562","LM-206",2,17
"135","2-0-3","1576","BM-021",2,19
"136","1-0-3","1578","WM-018",1,12
"137","2-0-3","1604","BM-012",1,14
"138","2-0-4","1611","BM-244",2,11
"139","1-1-3","1615","WF-014",1,12
"140","2-0-1","1629","BM-001",1,12
"141","1-0-2","1642","WM-002",1,1
"142","2-0-1","1670","BM-002",2,20
"143","1-0-3","1682","WM-018",1,13
"144","1-0-4","1689","WM-223",1,9
"145","2-0-1","1718","BM-003",3,10
"146","2-0-3","1729","BM-012",1,16
"147","1-1-4","1733","WF-240",1,1
"148","2-0-1","1741","BM-002",2,1
"149","2-0-1","1787","BM-001",1,16
"150","3-1-1","1795","LF-201",1,17
"151","2-0-0","1796","BM-009",1,8
"152","4-0-1","1833","AM-201",1,3
"153","1-0-2","1834","WM-002",1,8
"154","1-1-3","1841","WF-014",1,10
"155","1-0-0","1856","WM-001",1,4
"156","1-0-3","1865","WM-018",1,6
"157","2-0-0","1870","BM-009",1,5
"158","2-1-1","1871","BF-001",1,7
"159","1-1-1","1874","WF-001",1,13
"160","2-0-2","1904","BM-011",2,8
"161","2-0-1","1941","BM-003",3,2
"162","2-0-1","1943","BM-002",2,12
"163","1-0-4","2002","WM-249",2,2
"164","2-0-1","2006","BM-002",2,5
"165","3-0-1","2020","LM-200",1,5
"166","1-0-3","2034","WM-023",2,2
"167","2-0-1","2053","BM-002",2,18
"168","1-0-1","2054","WM-003",1,16
"169","1-1-4","2072","WF-240",1,7
"170","2-0-2","2076","BM-011",2,19
"171","1-0-4","2078",NA,3,8
"172","1-0-4","2100","WM-249",2,19
"173","2-1-1","2121","BF-001",1,8
"174","2-0-1","2128","BM-002",2,19
"175","1-1-4","2140","WF-240",1,12
"176","2-0-2","2149","BM-004",1,18
"177","2-1-3","2152","BF-024",1,11
"178","2-0-1","2153","BM-001",1,17
"179","1-0-4","2156","WM-223",1,5
"180","2-0-4","2165","BM-225",1,10
"181","2-1-1","2182","BF-001",1,1
"182","2-0-1","2195","BM-003",3,5
"183","2-0-2","2206","BM-011",2,18
"184","2-0-1","2211","BM-002",2,17
"185","2-0-4","2216","BM-244",2,18
"186","2-0-4","2220","BM-245",3,14
"187","2-0-0","2228","BM-009",1,4
"188","2-0-1","2262","BM-002",2,16
"189","1-0-4","2278","WM-223",1,15
"190","1-0-4","2291","WM-223",1,16
"191","2-0-1","2310","BM-003",3,20
"192","2-1-1","2320","BF-001",1,14
"193","2-0-1","2329","BM-003",3,19
"194","3-0-4","2338","LM-203",1,3
"195","1-0-4","2353","WM-223",1,7
"196","2-0-4","2382","BM-225",1,16
"197","2-0-1","2393","BM-003",3,1
"198","1-1-4","2396","WF-240",1,8
"199","2-0-2","2400","BM-004",1,10
"200","2-0-4","2402","BM-225",1,15
"201","2-1-1","2405","BF-003",2,9
"202","3-1-2","2410","LF-200",1,17
"203","4-0-4","2438","AM-215",1,15
"204","1-0-1","2446","WM-004",2,13
"205","2-0-0","2448","BM-009",1,17
"206","1-0-4","2456","WM-249",2,12
"207","2-0-1","2476","BM-001",1,6
"208","1-0-4","2484","WM-249",2,13
"209","3-0-4","2502","LM-203",1,5
"210","1-0-1","2504","WM-003",1,19
"211","2-0-1","2507","BM-005",4,20
"212","3-0-3","2511","LM-204",1,14
"213","2-0-2","2514","BM-004",1,17
"214","2-0-1","2515","BM-003",3,18
"215","2-0-2","2519","BM-011",2,13
"216","1-0-1","2525","WM-003",1,2
"217","1-0-0","2533","WM-001",1,5
"218","2-1-1","2537","BF-003",2,14
"219","2-0-3","2543","BM-012",1,12
"220","1-0-3","2567","WM-018",1,9
"221","2-1-1","2572","BF-001",1,3
"222","1-1-2","2583","WF-002",1,15
"223","1-0-3","2586","WM-018",1,5
"224","3-1-2","2589","LF-200",1,19
"225","3-0-4","2605","LM-203",1,6
"226","1-0-4","2613","WM-249",2,18
"227","2-0-2","2618","BM-011",2,17
"228","2-0-4","2624","BM-225",1,3
"229","1-0-4","2632","WM-249",2,15
"230","1-0-1","2638","WM-004",2,11
"231","2-0-1","2654","BM-001",1,13
"232","2-0-4","2681","BM-225",1,13
"233","2-1-0","2685","BF-002",1,3
"234","1-0-4","2687","WM-249",2,10
"235","2-0-4","2691","BM-244",2,3
"236","2-0-4","2703","BM-244",2,2
"237","2-1-2","2718","BF-009",2,7
"238","2-0-1","2719","BM-005",4,1
"239","2-0-1","2723","BM-005",4,18
"240","2-0-1","2737","BM-005",4,5
"241","2-0-1","2758","BM-002",2,6
"242","2-1-1","2765","BF-001",1,12
"243","2-0-1","2766","BM-002",2,14
"244","1-0-4","2767","WM-223",1,17
"245","2-0-1","2772","BM-003",3,17
