block_num,def_id,feature,image_id
1,8307,2-1-4,BF-203
1,8307,2-1-4,BF-211
1,8307,2-1-4,BF-224
1,8307,2-1-4,BF-225
1,8307,2-1-4,BF-234
1,8307,2-1-4,BF-236
1,8307,2-1-4,BF-238
1,10406,2-0-4,BM-225
1,10406,2-0-4,BM-244
1,10406,2-0-4,BM-245
1,8267,2-0-4,BM-225
1,8267,2-0-4,BM-244
1,8267,2-0-4,BM-245
1,5593,1-0-3,WM-018
1,5593,1-0-3,WM-023
1,5593,1-0-3,WM-201
1,5593,1-0-3,WM-204
1,5593,1-0-3,WM-220
1,5593,1-0-3,WM-221
1,5593,1-0-3,WM-225
1,5593,1-0-3,WM-248
1,5593,1-0-3,WM-258
1,61,2-1-4,BF-203
1,61,2-1-4,BF-211
1,61,2-1-4,BF-224
1,61,2-1-4,BF-225
1,61,2-1-4,BF-234
1,61,2-1-4,BF-236
1,61,2-1-4,BF-238
1,5438,2-0-0,BM-009
1,5438,2-0-0,BM-036
1,5438,2-0-0,BM-037
1,5438,2-0-0,BM-201
1,5438,2-0-0,BM-239
1,5438,2-0-0,BM-248
1,5438,2-0-0,BM-249
1,5557,2-0-4,BM-225
1,5557,2-0-4,BM-244
1,5557,2-0-4,BM-245
1,9924,1-0-2,WM-002
1,9924,1-0-2,WM-011
1,9924,1-0-2,WM-012
1,9924,1-0-2,WM-013
1,9924,1-0-2,WM-014
1,9924,1-0-2,WM-016
1,9924,1-0-2,WM-020
1,9924,1-0-2,WM-021
1,9924,1-0-2,WM-022
1,9924,1-0-2,WM-029
1,9924,1-0-2,WM-203
1,9924,1-0-2,WM-205
1,9924,1-0-2,WM-212
1,9924,1-0-2,WM-215
1,9924,1-0-2,WM-216
1,9924,1-0-2,WM-222
1,9924,1-0-2,WM-228
1,9924,1-0-2,WM-233
1,9924,1-0-2,WM-237
1,9924,1-0-2,WM-240
1,9924,1-0-2,WM-241
1,9924,1-0-2,WM-243
1,9924,1-0-2,WM-244
1,9924,1-0-2,WM-252
1,9924,1-0-2,WM-254
1,9924,1-0-2,WM-255
1,9924,1-0-2,WM-256
1,9924,1-0-2,WM-257
1,4767,1-0-3,WM-018
1,4767,1-0-3,WM-023
1,4767,1-0-3,WM-201
1,4767,1-0-3,WM-204
1,4767,1-0-3,WM-220
1,4767,1-0-3,WM-221
1,4767,1-0-3,WM-225
1,4767,1-0-3,WM-248
1,4767,1-0-3,WM-258
1,1733,1-1-4,WF-221
1,1733,1-1-4,WF-240
1,1733,1-1-4,WF-246
1,1733,1-1-4,WF-251
1,4766,1-0-1,WM-003
1,4766,1-0-1,WM-004
1,4766,1-0-1,WM-006
1,4766,1-0-1,WM-009
1,4766,1-0-1,WM-010
1,4766,1-0-1,WM-015
1,4766,1-0-1,WM-017
1,4766,1-0-1,WM-019
1,4766,1-0-1,WM-025
1,4766,1-0-1,WM-026
1,4766,1-0-1,WM-028
1,4766,1-0-1,WM-031
1,4766,1-0-1,WM-032
1,4766,1-0-1,WM-033
1,4766,1-0-1,WM-034
1,4766,1-0-1,WM-036
1,4766,1-0-1,WM-038
1,4766,1-0-1,WM-040
1,4766,1-0-1,WM-041
1,4766,1-0-1,WM-202
1,4766,1-0-1,WM-206
1,4766,1-0-1,WM-207
1,4766,1-0-1,WM-208
1,4766,1-0-1,WM-210
1,4766,1-0-1,WM-211
1,4766,1-0-1,WM-213
1,4766,1-0-1,WM-214
1,4766,1-0-1,WM-218
1,4766,1-0-1,WM-219
1,4766,1-0-1,WM-224
1,4766,1-0-1,WM-227
1,4766,1-0-1,WM-229
1,4766,1-0-1,WM-230
1,4766,1-0-1,WM-232
1,4766,1-0-1,WM-234
1,4766,1-0-1,WM-238
1,4766,1-0-1,WM-242
1,4766,1-0-1,WM-245
1,4766,1-0-1,WM-247
1,4766,1-0-1,WM-250
1,4766,1-0-1,WM-251
1,4766,1-0-1,WM-253
1,5647,2-1-3,BF-024
1,5647,2-1-3,BF-027
1,5647,2-1-3,BF-202
1,5647,2-1-3,BF-213
1,5647,2-1-3,BF-219
1,5647,2-1-3,BF-227
1,5647,2-1-3,BF-228
1,5647,2-1-3,BF-231
1,5647,2-1-3,BF-245
1,5647,2-1-3,BF-246
1,5647,2-1-3,BF-248
1,5647,2-1-3,BF-251
1,5647,2-1-3,BF-252
1,5647,2-1-3,BF-254
1,8827,3-0-1,LM-200
1,8827,3-0-1,LM-206
1,8827,3-0-1,LM-208
1,8827,3-0-1,LM-209
1,8827,3-0-1,LM-212
1,8827,3-0-1,LM-214
1,8827,3-0-1,LM-216
1,8827,3-0-1,LM-219
1,8827,3-0-1,LM-224
1,8827,3-0-1,LM-225
1,8827,3-0-1,LM-231
1,8827,3-0-1,LM-238
1,8827,3-0-1,LM-239
1,8827,3-0-1,LM-241
1,8827,3-0-1,LM-242
1,8827,3-0-1,LM-243
1,8827,3-0-1,LM-244
