block_id,def_id,ground_truth,compas_score,study1_condition1,study1_condition2,study1_condition3,study1_condition4,def_age,def_gender,def_race,def_juv_fel,def_juv_misd,def_priors,def_charge_degree
1,61,0,2,18,20,19,20,51,1,2,0,0,7,1
1,855,0,1,1,5,3,6,38,0,2,0,0,0,1
1,921,0,7,9,9,5,8,30,0,2,0,0,1,0
1,1022,0,1,1,3,3,0,31,1,2,0,0,0,0
1,1024,0,2,9,8,9,5,27,0,2,0,0,0,0
1,1441,1,5,6,11,6,6,30,0,2,0,0,1,0
1,1443,1,5,6,7,4,3,45,0,2,0,0,0,1
1,1642,0,6,7,14,9,8,29,0,1,0,0,1,0
1,1733,0,7,17,19,20,20,52,1,1,0,0,6,0
1,1741,1,6,20,18,19,18,24,0,2,0,0,5,1
1,2182,1,6,12,13,9,13,26,1,2,0,0,1,1
1,2393,0,3,8,9,7,7,22,0,2,0,0,0,1
1,2719,1,4,9,14,10,11,23,0,2,0,0,1,1
1,2910,0,4,5,1,0,2,42,0,1,0,0,0,0
1,3115,0,4,18,20,20,20,40,1,2,0,0,7,0
1,3398,1,10,18,20,20,19,21,0,2,1,2,3,1
1,3635,0,4,15,17,15,14,24,1,2,0,0,2,1
1,3732,0,1,7,8,8,6,26,0,2,0,0,1,0
1,3957,0,2,5,15,7,7,24,0,3,0,0,1,0
1,4105,1,9,20,17,19,20,33,0,1,0,0,7,1
1,4766,1,9,17,20,16,16,26,0,1,0,0,2,1
1,4767,0,2,15,19,16,18,39,0,1,0,0,3,1
1,4841,0,1,0,0,2,0,55,0,1,0,0,0,0
1,5438,1,10,12,18,14,12,20,0,2,0,0,1,1
1,5557,1,4,5,5,8,6,51,0,2,0,0,0,0
1,5593,1,4,19,19,20,18,37,0,1,0,0,4,0
1,5647,1,1,0,1,1,1,42,1,2,0,0,0,0
1,6064,0,2,0,3,3,1,31,1,1,0,0,0,0
1,7324,0,1,3,3,3,4,30,0,1,0,0,0,1
1,7412,1,2,2,4,5,3,28,0,1,0,0,0,1
1,7652,1,8,19,19,19,18,25,0,2,0,0,8,1
1,7678,1,7,20,19,19,20,28,0,2,0,2,7,1
1,8104,0,6,19,19,20,19,42,1,2,0,0,16,1
1,8141,0,4,2,2,0,0,21,0,1,0,0,0,1
1,8267,1,3,16,16,18,15,46,0,2,0,0,3,1
1,8307,0,6,14,15,18,18,53,1,2,0,0,5,1
1,8517,1,3,6,5,5,2,23,0,2,0,0,0,0
1,8613,0,2,16,15,10,14,33,0,1,0,0,2,0
1,8827,0,3,20,20,18,19,26,0,3,0,0,5,1
1,8938,0,5,2,0,1,2,48,1,2,0,0,0,0
1,9295,0,2,15,17,14,16,30,0,3,0,0,2,1
1,9435,0,5,20,18,17,17,24,0,1,0,0,3,1
1,9501,0,1,1,2,2,2,45,0,3,0,0,0,0
1,9644,0,6,4,8,2,3,22,0,2,0,0,0,0
1,9924,1,3,8,10,8,10,29,0,1,0,0,0,1
1,10011,1,3,16,16,15,14,45,0,2,0,0,4,0
1,10044,1,2,1,4,3,0,34,0,1,0,0,0,0
1,10307,0,6,20,20,18,19,31,0,2,2,0,6,1
1,10406,0,7,14,15,15,16,43,0,2,0,0,2,1
1,10452,0,1,2,1,0,2,44,1,2,0,0,0,1
2,282,1,4,17,20,17,19,45,0,1,0,0,8,0
2,375,0,2,17,17,19,18,30,0,1,0,0,4,1
2,408,0,3,9,7,8,12,22,1,1,0,0,1,1
2,726,1,6,14,16,17,16,34,0,1,0,0,4,1
2,794,1,5,18,20,19,19,29,0,2,0,0,5,1
2,838,0,3,5,3,6,4,44,0,2,0,0,1,0
2,913,1,8,17,16,18,16,31,0,2,0,0,3,0
2,1066,0,2,9,12,12,11,40,0,1,0,0,1,1
2,1103,0,8,6,7,5,5,22,0,2,0,0,0,1
2,1195,0,7,11,14,17,16,37,1,2,0,0,3,1
2,1361,1,3,16,16,18,18,27,0,2,0,0,5,0
2,1490,1,4,14,19,16,15,30,0,2,0,0,4,0
2,1941,0,1,1,4,3,2,28,0,2,0,0,0,0
2,2002,0,5,19,18,20,18,49,0,1,0,0,12,0
2,2034,0,2,9,11,13,13,37,0,1,0,0,2,1
2,2525,0,2,5,1,7,3,28,0,1,0,0,0,1
2,2703,0,7,12,12,11,12,51,0,2,0,0,3,1
2,3010,0,1,2,2,2,1,58,0,1,0,0,0,0
2,3248,1,1,10,16,19,16,70,0,1,0,0,11,1
2,3647,0,3,11,7,11,11,20,0,2,0,0,0,1
2,3854,1,3,14,15,11,13,22,0,2,0,0,1,1
2,4098,1,4,17,18,19,18,26,0,2,0,0,4,1
2,4161,1,1,0,2,2,1,54,0,2,0,0,0,0
2,4546,1,1,4,5,10,4,32,0,2,0,0,0,1
2,4629,1,1,3,2,2,1,55,0,1,0,0,0,0
2,4640,1,10,20,20,19,19,25,0,2,0,1,10,1
2,4860,0,2,2,4,4,4,24,1,2,0,0,0,0
2,4943,1,9,18,20,18,18,46,0,2,1,0,9,1
2,4977,1,7,20,20,20,19,39,0,1,6,1,17,1
2,4991,1,3,17,18,20,19,58,0,2,0,0,10,1
2,5049,0,2,1,2,4,3,26,1,1,0,0,0,0
2,5270,0,4,1,5,2,1,31,0,2,0,0,0,0
2,5500,0,4,10,14,18,15,72,0,1,0,0,7,1
2,5765,0,9,19,19,20,19,51,0,2,1,0,19,1
2,6189,0,2,3,5,5,7,46,1,1,0,0,1,1
2,6207,1,8,3,2,1,1,38,0,2,0,0,0,0
2,6240,0,1,4,8,5,4,50,0,2,0,0,0,1
2,6884,0,8,0,5,3,2,29,0,1,0,0,0,1
2,7032,0,2,7,6,2,6,58,1,1,0,0,1,0
2,7834,0,2,5,9,6,6,33,0,2,0,0,1,1
2,7897,1,5,2,2,5,4,24,1,1,0,0,0,0
2,7920,0,4,4,4,6,5,22,0,2,0,0,0,1
2,8046,1,10,19,19,20,19,27,0,2,0,0,13,1
2,8162,0,2,1,6,4,6,48,0,4,0,0,0,1
2,9407,0,7,19,20,20,19,40,0,2,0,0,20,1
2,9634,0,3,17,17,16,17,24,0,3,0,0,2,1
2,10220,0,3,4,10,8,11,24,0,2,0,0,1,1
2,10423,1,2,12,16,11,16,28,0,1,0,0,2,1
2,10502,0,1,3,3,3,0,31,0,1,0,0,0,1
2,10748,0,1,5,8,8,4,44,0,1,0,0,1,0
3,505,0,1,7,7,9,10,29,0,2,0,0,0,1
3,526,0,6,10,7,8,9,21,1,1,0,0,0,1
3,999,1,1,7,6,6,7,38,0,1,0,0,1,1
3,1159,0,1,3,2,3,1,53,1,2,0,0,0,1
3,1286,1,4,20,20,20,19,24,0,1,0,2,3,1
3,1833,0,3,2,5,3,4,24,0,4,0,0,0,1
3,2338,0,1,1,3,2,0,59,0,3,0,0,0,0
3,2572,1,5,12,19,17,16,28,1,2,0,0,2,1
3,2624,1,2,9,5,4,7,51,0,2,0,0,0,1
3,2685,0,5,7,7,5,2,21,1,2,0,0,0,1
3,2691,0,1,4,1,3,7,54,0,2,0,0,0,0
3,3234,0,1,20,20,20,19,39,0,1,0,0,8,1
3,3510,1,9,20,19,19,19,36,0,1,1,0,10,0
3,3768,0,1,5,8,6,5,36,1,2,0,0,1,0
3,4029,1,2,4,3,2,4,28,0,3,0,0,0,0
3,4082,1,5,2,6,2,6,24,0,1,0,0,0,1
3,4126,1,2,2,5,11,10,30,0,2,0,0,0,1
3,4426,0,2,4,7,1,2,43,1,1,0,0,0,0
3,4461,0,1,16,17,17,14,64,0,1,0,0,8,1
3,4620,0,2,6,9,9,8,41,0,1,0,0,0,1
3,4703,1,2,6,7,9,5,25,0,3,0,0,0,1
3,5213,0,2,15,18,20,17,33,0,3,0,0,3,0
3,5217,1,1,2,3,3,5,37,0,2,0,0,0,1
3,5352,1,2,5,3,2,3,24,0,2,0,0,0,0
3,5607,0,3,18,17,18,16,38,0,1,0,0,2,1
