conditionID,raceTextShown,imageShown,blockID,defID,groundTruth,compasScore,turkerScore,turkerScore1to10,imageID,defEthnicity,defGender,defAge,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeID,defChargeDegree
1,1,1,6,10008,1,4,6,6.4, WM-017,1,0,28,0,0,1,268,1
2,1,0,6,10008,1,4,3,3.7, WM-017,1,0,28,0,0,1,268,1
3,0,1,6,10008,1,4,4,4.6, WM-017,1,0,28,0,0,1,268,1
4,0,0,6,10008,1,4,3.5,4.15, WM-017,1,0,28,0,0,1,268,1
1,1,1,17,10010,1,9,3,3.7, BM-009,2,0,21,0,0,0,168,1
2,1,0,17,10010,1,9,2,2.8, BM-009,2,0,21,0,0,0,168,1
3,0,1,17,10010,1,9,2,2.8, BM-009,2,0,21,0,0,0,168,1
4,0,0,17,10010,1,9,5,5.5, BM-009,2,0,21,0,0,0,168,1
1,1,1,1,10011,1,3,7.5,7.75, BM-025,2,0,45,0,0,4,127,0
2,1,0,1,10011,1,3,8,8.2, BM-025,2,0,45,0,0,4,127,0
3,0,1,1,10011,1,3,7.5,7.75, BM-025,2,0,45,0,0,4,127,0
4,0,0,1,10011,1,3,7.5,7.75, BM-025,2,0,45,0,0,4,127,0
1,1,1,20,10012,1,6,8,8.2, BF-001,2,1,24,0,0,2,190,1
2,1,0,20,10012,1,6,8,8.2, BF-001,2,1,24,0,0,2,190,1
3,0,1,20,10012,1,6,7.5,7.75, BF-001,2,1,24,0,0,2,190,1
4,0,0,20,10012,1,6,6.5,6.85, BF-001,2,1,24,0,0,2,190,1
1,1,1,17,1004,1,6,5,5.5, LM-206,3,0,23,0,0,2,283,0
2,1,0,17,1004,1,6,8,8.2, LM-206,3,0,23,0,0,2,283,0
3,0,1,17,1004,1,6,7.5,7.75, LM-206,3,0,23,0,0,2,283,0
4,0,0,17,1004,1,6,7.5,7.75, LM-206,3,0,23,0,0,2,283,0
1,1,1,1,10044,1,2,0.5,1.45, WM-016,1,0,34,0,0,0,374,0
2,1,0,1,10044,1,2,2,2.8, WM-016,1,0,34,0,0,0,374,0
3,0,1,1,10044,1,2,1.5,2.35, WM-016,1,0,34,0,0,0,374,0
4,0,0,1,10044,1,2,1,1.9, WM-016,1,0,34,0,0,0,374,0
1,1,1,20,10068,0,4,3.5,4.15, WM-009,1,0,22,0,0,0,190,1
2,1,0,20,10068,0,4,1,1.9, WM-009,1,0,22,0,0,0,190,1
3,0,1,20,10068,0,4,1.5,2.35, WM-009,1,0,22,0,0,0,190,1
4,0,0,20,10068,0,4,1,1.9, WM-009,1,0,22,0,0,0,190,1
1,1,1,5,10076,0,4,8,8.2, BM-037,2,0,21,0,0,2,190,1
2,1,0,5,10076,0,4,9,9.1, BM-037,2,0,21,0,0,2,190,1
3,0,1,5,10076,0,4,8,8.2, BM-037,2,0,21,0,0,2,190,1
4,0,0,5,10076,0,4,8,8.2, BM-037,2,0,21,0,0,2,190,1
1,1,1,19,101,1,1,8,8.2, LM-215,3,0,45,0,0,6,306,1
2,1,0,19,101,1,1,7,7.3, LM-215,3,0,45,0,0,6,306,1
3,0,1,19,101,1,1,8,8.2, LM-215,3,0,45,0,0,6,306,1
4,0,0,19,101,1,1,6,6.4, LM-215,3,0,45,0,0,6,306,1
1,1,1,7,10134,1,7,9.5,9.55, LM-200,3,0,25,0,0,6,45,0
2,1,0,7,10134,1,7,9.5,9.55, LM-200,3,0,25,0,0,6,45,0
3,0,1,7,10134,1,7,9,9.1, LM-200,3,0,25,0,0,6,45,0
4,0,0,7,10134,1,7,9.5,9.55, LM-200,3,0,25,0,0,6,45,0
1,1,1,10,10136,1,3,7.5,7.75, BM-018,2,0,34,0,0,2,71,1
2,1,0,10,10136,1,3,7.5,7.75, BM-018,2,0,34,0,0,2,71,1
3,0,1,10,10136,1,3,7,7.3, BM-018,2,0,34,0,0,2,71,1
4,0,0,10,10136,1,3,8,8.2, BM-018,2,0,34,0,0,2,71,1
1,1,1,4,10137,0,7,1,1.9, BM-017,2,0,32,0,0,0,21,1
2,1,0,4,10137,0,7,1,1.9, BM-017,2,0,32,0,0,0,21,1
3,0,1,4,10137,0,7,1,1.9, BM-017,2,0,32,0,0,0,21,1
4,0,0,4,10137,0,7,0.5,1.45, BM-017,2,0,32,0,0,0,21,1
1,1,1,4,10150,1,2,9,9.1, BM-023,2,0,28,0,0,3,242,0
2,1,0,4,10150,1,2,9,9.1, BM-023,2,0,28,0,0,3,242,0
3,0,1,4,10150,1,2,8,8.2, BM-023,2,0,28,0,0,3,242,0
4,0,0,4,10150,1,2,8,8.2, BM-023,2,0,28,0,0,3,242,0
1,1,1,9,10167,1,6,8,8.2, BM-013,2,0,24,0,0,2,313,1
2,1,0,9,10167,1,6,6.5,6.85, BM-013,2,0,24,0,0,2,313,1
3,0,1,9,10167,1,6,4.5,5.05, BM-013,2,0,24,0,0,2,313,1
4,0,0,9,10167,1,6,8.5,8.65, BM-013,2,0,24,0,0,2,313,1
1,1,1,11,10169,1,7,1,1.9, WM-002,1,0,33,0,0,0,283,0
2,1,0,11,10169,1,7,1,1.9, WM-002,1,0,33,0,0,0,283,0
3,0,1,11,10169,1,7,0.5,1.45, WM-002,1,0,33,0,0,0,283,0
4,0,0,11,10169,1,7,1,1.9, WM-002,1,0,33,0,0,0,283,0
1,1,1,1,1022,0,1,0.5,1.45, BF-007,2,1,31,0,0,0,45,0
2,1,0,1,1022,0,1,1.5,2.35, BF-007,2,1,31,0,0,0,45,0
3,0,1,1,1022,0,1,1.5,2.35, BF-007,2,1,31,0,0,0,45,0
4,0,0,1,1022,0,1,1,1.9, BF-007,2,1,31,0,0,0,45,0
1,1,1,2,10220,0,3,2,2.8, BM-016,2,0,24,0,0,1,246,1
2,1,0,2,10220,0,3,5,5.5, BM-016,2,0,24,0,0,1,246,1
3,0,1,2,10220,0,3,4,4.6, BM-016,2,0,24,0,0,1,246,1
4,0,0,2,10220,0,3,3,3.7, BM-016,2,0,24,0,0,1,246,1
1,1,1,1,1024,0,2,5,5.5, BM-005,2,0,27,0,0,0,306,0
2,1,0,1,1024,0,2,4,4.6, BM-005,2,0,27,0,0,0,306,0
3,0,1,1,1024,0,2,4.5,5.05, BM-005,2,0,27,0,0,0,306,0
4,0,0,1,1024,0,2,1,1.9, BM-005,2,0,27,0,0,0,306,0
1,1,1,13,10243,0,3,0,1, LF-200,3,1,29,0,0,0,122,0
2,1,0,13,10243,0,3,0,1, LF-200,3,1,29,0,0,0,122,0
3,0,1,13,10243,0,3,0.5,1.45, LF-200,3,1,29,0,0,0,122,0
4,0,0,13,10243,0,3,0.5,1.45, LF-200,3,1,29,0,0,0,122,0
1,1,1,11,10267,0,8,10,10, BF-007,2,1,31,0,0,4,10,1
2,1,0,11,10267,0,8,10,10, BF-007,2,1,31,0,0,4,10,1
3,0,1,11,10267,0,8,8.5,8.65, BF-007,2,1,31,0,0,4,10,1
4,0,0,11,10267,0,8,8.5,8.65, BF-007,2,1,31,0,0,4,10,1
1,1,1,15,10271,0,3,5,5.5, LM-210,3,0,33,0,0,2,127,0
2,1,0,15,10271,0,3,5.5,5.95, LM-210,3,0,33,0,0,2,127,0
3,0,1,15,10271,0,3,6,6.4, LM-210,3,0,33,0,0,2,127,0
4,0,0,15,10271,0,3,5,5.5, LM-210,3,0,33,0,0,2,127,0
1,1,1,19,10277,0,7,10,10, BM-011,2,0,30,0,1,14,129,1
2,1,0,19,10277,0,7,9.5,9.55, BM-011,2,0,30,0,1,14,129,1
3,0,1,19,10277,0,7,9.5,9.55, BM-011,2,0,30,0,1,14,129,1
4,0,0,19,10277,0,7,9.5,9.55, BM-011,2,0,30,0,1,14,129,1
1,1,1,20,10289,1,8,5,5.5, WM-023,1,0,36,0,0,0,306,1
2,1,0,20,10289,1,8,3,3.7, WM-023,1,0,36,0,0,0,306,1
3,0,1,20,10289,1,8,2,2.8, WM-023,1,0,36,0,0,0,306,1
4,0,0,20,10289,1,8,3,3.7, WM-023,1,0,36,0,0,0,306,1
1,1,1,19,10302,0,2,7.5,7.75, empty,2,0,61,0,0,14,261,0
2,1,0,19,10302,0,2,8.5,8.65, empty,2,0,61,0,0,14,261,0
3,0,1,19,10302,0,2,8.5,8.65, empty,2,0,61,0,0,14,261,0
4,0,0,19,10302,0,2,8,8.2, empty,2,0,61,0,0,14,261,0
1,1,1,1,10307,0,6,10,10, BM-004,2,0,31,2,0,6,169,1
2,1,0,1,10307,0,6,10,10, BM-004,2,0,31,2,0,6,169,1
3,0,1,1,10307,0,6,9,9.1, BM-004,2,0,31,2,0,6,169,1
4,0,0,1,10307,0,6,10,10, BM-004,2,0,31,2,0,6,169,1
1,1,1,11,10317,0,1,0.5,1.45, empty,2,0,62,0,0,0,133,0
2,1,0,11,10317,0,1,0.5,1.45, empty,2,0,62,0,0,0,133,0
3,0,1,11,10317,0,1,0.5,1.45, empty,2,0,62,0,0,0,133,0
4,0,0,11,10317,0,1,0.5,1.45, empty,2,0,62,0,0,0,133,0
1,1,1,5,10319,1,1,7.5,7.75, BM-012,2,0,43,0,0,3,172,1
2,1,0,5,10319,1,1,5.5,5.95, BM-012,2,0,43,0,0,3,172,1
3,0,1,5,10319,1,1,6.5,6.85, BM-012,2,0,43,0,0,3,172,1
4,0,0,5,10319,1,1,6.5,6.85, BM-012,2,0,43,0,0,3,172,1
1,1,1,7,1032,1,9,9.5,9.55, LM-201,3,0,29,0,0,7,129,1
2,1,0,7,1032,1,9,8.5,8.65, LM-201,3,0,29,0,0,7,129,1
3,0,1,7,1032,1,9,9.5,9.55, LM-201,3,0,29,0,0,7,129,1
4,0,0,7,1032,1,9,9.5,9.55, LM-201,3,0,29,0,0,7,129,1
1,1,1,5,10327,0,5,1,1.9, WM-009,1,0,23,0,0,0,45,0
2,1,0,5,10327,0,5,1.5,2.35, WM-009,1,0,23,0,0,0,45,0
3,0,1,5,10327,0,5,1,1.9, WM-009,1,0,23,0,0,0,45,0
4,0,0,5,10327,0,5,1,1.9, WM-009,1,0,23,0,0,0,45,0
1,1,1,19,10334,1,6,1,1.9, BM-009,2,0,20,0,0,0,382,1
2,1,0,19,10334,1,6,0,1, BM-009,2,0,20,0,0,0,382,1
3,0,1,19,10334,1,6,0.5,1.45, BM-009,2,0,20,0,0,0,382,1
4,0,0,19,10334,1,6,2,2.8, BM-009,2,0,20,0,0,0,382,1
1,1,1,19,10336,1,8,8.5,8.65, BM-017,2,0,29,1,0,3,45,0
2,1,0,19,10336,1,8,8,8.2, BM-017,2,0,29,1,0,3,45,0
3,0,1,19,10336,1,8,8,8.2, BM-017,2,0,29,1,0,3,45,0
4,0,0,19,10336,1,8,6,6.4, BM-017,2,0,29,1,0,3,45,0
1,1,1,14,10359,0,6,2,2.8, BM-016,2,0,25,0,0,2,401,0
2,1,0,14,10359,0,6,5.5,5.95, BM-016,2,0,25,0,0,2,401,0
3,0,1,14,10359,0,6,6.5,6.85, BM-016,2,0,25,0,0,2,401,0
4,0,0,14,10359,0,6,4,4.6, BM-016,2,0,25,0,0,2,401,0
1,1,1,9,10369,0,1,2,2.8, LM-201,3,0,29,0,0,1,6,1
2,1,0,9,10369,0,1,3.5,4.15, LM-201,3,0,29,0,0,1,6,1
3,0,1,9,10369,0,1,2.5,3.25, LM-201,3,0,29,0,0,1,6,1
4,0,0,9,10369,0,1,2.5,3.25, LM-201,3,0,29,0,0,1,6,1
1,1,1,20,10377,0,1,3,3.7, WM-018,1,0,41,0,0,0,10,1
2,1,0,20,10377,0,1,0.5,1.45, WM-018,1,0,41,0,0,0,10,1
3,0,1,20,10377,0,1,3.5,4.15, WM-018,1,0,41,0,0,0,10,1
4,0,0,20,10377,0,1,1,1.9, WM-018,1,0,41,0,0,0,10,1
1,1,1,19,10383,1,9,9.5,9.55, BM-005,2,0,27,0,0,10,129,1
2,1,0,19,10383,1,9,10,10, BM-005,2,0,27,0,0,10,129,1
3,0,1,19,10383,1,9,9,9.1, BM-005,2,0,27,0,0,10,129,1
4,0,0,19,10383,1,9,9,9.1, BM-005,2,0,27,0,0,10,129,1
1,1,1,3,10390,1,4,9.5,9.55, WM-002,1,0,29,0,0,3,306,1
2,1,0,3,10390,1,4,10,10, WM-002,1,0,29,0,0,3,306,1
3,0,1,3,10390,1,4,8.5,8.65, WM-002,1,0,29,0,0,3,306,1
4,0,0,3,10390,1,4,10,10, WM-002,1,0,29,0,0,3,306,1
1,1,1,20,10394,0,1,1.5,2.35, BM-029,2,0,30,0,0,0,45,0
2,1,0,20,10394,0,1,1,1.9, BM-029,2,0,30,0,0,0,45,0
3,0,1,20,10394,0,1,0,1, BM-029,2,0,30,0,0,0,45,0
4,0,0,20,10394,0,1,0.5,1.45, BM-029,2,0,30,0,0,0,45,0
1,1,1,5,10401,0,1,0,1, WF-221,1,1,47,0,0,0,45,0
2,1,0,5,10401,0,1,0,1, WF-221,1,1,47,0,0,0,45,0
3,0,1,5,10401,0,1,1,1.9, WF-221,1,1,47,0,0,0,45,0
4,0,0,5,10401,0,1,0.5,1.45, WF-221,1,1,47,0,0,0,45,0
1,1,1,1,10406,0,7,6.5,6.85, BM-012,2,0,43,0,0,2,306,1
2,1,0,1,10406,0,7,7.5,7.75, BM-012,2,0,43,0,0,2,306,1
3,0,1,1,10406,0,7,7.5,7.75, BM-012,2,0,43,0,0,2,306,1
4,0,0,1,10406,0,7,7.5,7.75, BM-012,2,0,43,0,0,2,306,1
1,1,1,19,10412,0,1,1,1.9, WM-221,1,0,49,0,0,0,190,1
2,1,0,19,10412,0,1,0.5,1.45, WM-221,1,0,49,0,0,0,190,1
3,0,1,19,10412,0,1,0.5,1.45, WM-221,1,0,49,0,0,0,190,1
4,0,0,19,10412,0,1,1,1.9, WM-221,1,0,49,0,0,0,190,1
1,1,1,2,10423,1,2,6,6.4, WM-004,1,0,28,0,0,2,377,1
2,1,0,2,10423,1,2,8,8.2, WM-004,1,0,28,0,0,2,377,1
3,0,1,2,10423,1,2,5.5,5.95, WM-004,1,0,28,0,0,2,377,1
4,0,0,2,10423,1,2,6,6.4, WM-004,1,0,28,0,0,2,377,1
1,1,1,5,1044,0,5,8,8.2, BM-025,2,0,36,0,1,4,45,0
2,1,0,5,1044,0,5,9.5,9.55, BM-025,2,0,36,0,1,4,45,0
3,0,1,5,1044,0,5,8.5,8.65, BM-025,2,0,36,0,1,4,45,0
4,0,0,5,1044,0,5,8,8.2, BM-025,2,0,36,0,1,4,45,0
1,1,1,3,10448,1,4,8,8.2, BM-212,2,0,48,0,0,11,337,0
2,1,0,3,10448,1,4,10,10, BM-212,2,0,48,0,0,11,337,0
3,0,1,3,10448,1,4,9.5,9.55, BM-212,2,0,48,0,0,11,337,0
4,0,0,3,10448,1,4,9,9.1, BM-212,2,0,48,0,0,11,337,0
1,1,1,13,10449,0,2,5.5,5.95, BF-203,2,1,51,0,0,3,379,0
2,1,0,13,10449,0,2,6.5,6.85, BF-203,2,1,51,0,0,3,379,0
3,0,1,13,10449,0,2,6,6.4, BF-203,2,1,51,0,0,3,379,0
4,0,0,13,10449,0,2,4.5,5.05, BF-203,2,1,51,0,0,3,379,0
1,1,1,1,10452,0,1,1,1.9, BF-027,2,1,44,0,0,0,379,1
2,1,0,1,10452,0,1,0.5,1.45, BF-027,2,1,44,0,0,0,379,1
3,0,1,1,10452,0,1,0,1, BF-027,2,1,44,0,0,0,379,1
4,0,0,1,10452,0,1,1.5,2.35, BF-027,2,1,44,0,0,0,379,1
1,1,1,15,10484,0,1,7,7.3, WM-011,1,0,29,0,0,2,180,0
2,1,0,15,10484,0,1,8.5,8.65, WM-011,1,0,29,0,0,2,180,0
3,0,1,15,10484,0,1,7.5,7.75, WM-011,1,0,29,0,0,2,180,0
4,0,0,15,10484,0,1,7.5,7.75, WM-011,1,0,29,0,0,2,180,0
1,1,1,6,10491,0,3,2.5,3.25, WM-013,1,0,29,0,0,1,45,0
2,1,0,6,10491,0,3,2,2.8, WM-013,1,0,29,0,0,1,45,0
3,0,1,6,10491,0,3,2.5,3.25, WM-013,1,0,29,0,0,1,45,0
4,0,0,6,10491,0,3,3,3.7, WM-013,1,0,29,0,0,1,45,0
1,1,1,11,10492,0,6,10,10, LF-201,3,1,25,0,1,14,65,1
2,1,0,11,10492,0,6,10,10, LF-201,3,1,25,0,1,14,65,1
3,0,1,11,10492,0,6,10,10, LF-201,3,1,25,0,1,14,65,1
4,0,0,11,10492,0,6,10,10, LF-201,3,1,25,0,1,14,65,1
1,1,1,8,10498,0,1,2.5,3.25, empty,1,1,65,0,0,1,15,1
2,1,0,8,10498,0,1,3.5,4.15, empty,1,1,65,0,0,1,15,1
3,0,1,8,10498,0,1,3,3.7, empty,1,1,65,0,0,1,15,1
4,0,0,8,10498,0,1,2.5,3.25, empty,1,1,65,0,0,1,15,1
1,1,1,8,10499,1,9,10,10, WF-001,1,1,28,0,0,5,306,1
2,1,0,8,10499,1,9,9.5,9.55, WF-001,1,1,28,0,0,5,306,1
3,0,1,8,10499,1,9,9.5,9.55, WF-001,1,1,28,0,0,5,306,1
4,0,0,8,10499,1,9,9,9.1, WF-001,1,1,28,0,0,5,306,1
1,1,1,2,10502,0,1,1.5,2.35, WM-011,1,0,31,0,0,0,169,1
2,1,0,2,10502,0,1,1.5,2.35, WM-011,1,0,31,0,0,0,169,1
3,0,1,2,10502,0,1,1.5,2.35, WM-011,1,0,31,0,0,0,169,1
4,0,0,2,10502,0,1,0.5,1.45, WM-011,1,0,31,0,0,0,169,1
1,1,1,15,10509,0,7,9,9.1, BM-013,2,0,25,0,1,3,246,1
2,1,0,15,10509,0,7,8,8.2, BM-013,2,0,25,0,1,3,246,1
3,0,1,15,10509,0,7,8,8.2, BM-013,2,0,25,0,1,3,246,1
4,0,0,15,10509,0,7,9,9.1, BM-013,2,0,25,0,1,3,246,1
1,1,1,7,10528,0,1,1.5,2.35, LM-215,3,0,41,0,0,1,128,0
2,1,0,7,10528,0,1,3.5,4.15, LM-215,3,0,41,0,0,1,128,0
3,0,1,7,10528,0,1,3,3.7, LM-215,3,0,41,0,0,1,128,0
4,0,0,7,10528,0,1,3,3.7, LM-215,3,0,41,0,0,1,128,0
1,1,1,17,10536,1,9,9,9.1, BM-001,2,0,26,0,0,8,280,1
2,1,0,17,10536,1,9,10,10, BM-001,2,0,26,0,0,8,280,1
3,0,1,17,10536,1,9,10,10, BM-001,2,0,26,0,0,8,280,1
4,0,0,17,10536,1,9,9.5,9.55, BM-001,2,0,26,0,0,8,280,1
1,1,1,7,10540,1,1,1.5,2.35, WF-008,1,1,31,0,0,1,45,0
2,1,0,7,10540,1,1,2,2.8, WF-008,1,1,31,0,0,1,45,0
3,0,1,7,10540,1,1,2.5,3.25, WF-008,1,1,31,0,0,1,45,0
4,0,0,7,10540,1,1,3,3.7, WF-008,1,1,31,0,0,1,45,0
1,1,1,19,10544,0,1,0,1, empty,1,0,67,0,0,0,45,0
2,1,0,19,10544,0,1,0,1, empty,1,0,67,0,0,0,45,0
3,0,1,19,10544,0,1,0,1, empty,1,0,67,0,0,0,45,0
4,0,0,19,10544,0,1,0.5,1.45, empty,1,0,67,0,0,0,45,0
1,1,1,11,10560,1,1,5.5,5.95, WM-225,1,0,41,0,0,1,10,1
2,1,0,11,10560,1,1,5,5.5, WM-225,1,0,41,0,0,1,10,1
3,0,1,11,10560,1,1,7,7.3, WM-225,1,0,41,0,0,1,10,1
4,0,0,11,10560,1,1,6,6.4, WM-225,1,0,41,0,0,1,10,1
1,1,1,17,10577,1,2,3.5,4.15, empty,1,0,59,0,0,0,423,0
2,1,0,17,10577,1,2,2.5,3.25, empty,1,0,59,0,0,0,423,0
3,0,1,17,10577,1,2,2,2.8, empty,1,0,59,0,0,0,423,0
4,0,0,17,10577,1,2,2.5,3.25, empty,1,0,59,0,0,0,423,0
1,1,1,11,10580,0,8,4.5,5.05, WF-003,1,1,22,0,0,1,425,0
2,1,0,11,10580,0,8,3.5,4.15, WF-003,1,1,22,0,0,1,425,0
3,0,1,11,10580,0,8,6.5,6.85, WF-003,1,1,22,0,0,1,425,0
4,0,0,11,10580,0,8,4.5,5.05, WF-003,1,1,22,0,0,1,425,0
1,1,1,5,1059,0,6,3,3.7, BM-023,2,0,24,0,0,1,45,0
2,1,0,5,1059,0,6,3,3.7, BM-023,2,0,24,0,0,1,45,0
3,0,1,5,1059,0,6,4,4.6, BM-023,2,0,24,0,0,1,45,0
4,0,0,5,1059,0,6,7,7.3, BM-023,2,0,24,0,0,1,45,0
1,1,1,4,10591,1,5,8,8.2, WM-023,1,0,40,0,0,4,190,1
2,1,0,4,10591,1,5,9.5,9.55, WM-023,1,0,40,0,0,4,190,1
3,0,1,4,10591,1,5,9,9.1, WM-023,1,0,40,0,0,4,190,1
4,0,0,4,10591,1,5,8,8.2, WM-023,1,0,40,0,0,4,190,1
1,1,1,14,10622,0,6,8.5,8.65, BF-024,2,1,44,0,0,6,306,1
2,1,0,14,10622,0,6,8,8.2, BF-024,2,1,44,0,0,6,306,1
3,0,1,14,10622,0,6,8,8.2, BF-024,2,1,44,0,0,6,306,1
4,0,0,14,10622,0,6,8,8.2, BF-024,2,1,44,0,0,6,306,1
1,1,1,16,10626,0,1,0,1, WM-249,1,0,46,0,0,0,14,1
2,1,0,16,10626,0,1,1,1.9, WM-249,1,0,46,0,0,0,14,1
3,0,1,16,10626,0,1,1.5,2.35, WM-249,1,0,46,0,0,0,14,1
4,0,0,16,10626,0,1,1,1.9, WM-249,1,0,46,0,0,0,14,1
1,1,1,13,10643,0,10,0.5,1.45, BM-016,2,0,22,0,0,0,337,0
2,1,0,13,10643,0,10,2,2.8, BM-016,2,0,22,0,0,0,337,0
3,0,1,13,10643,0,10,2.5,3.25, BM-016,2,0,22,0,0,0,337,0
4,0,0,13,10643,0,10,0.5,1.45, BM-016,2,0,22,0,0,0,337,0
1,1,1,18,10645,0,7,1,1.9, BM-017,2,0,31,0,0,0,129,1
2,1,0,18,10645,0,7,1.5,2.35, BM-017,2,0,31,0,0,0,129,1
3,0,1,18,10645,0,7,0.5,1.45, BM-017,2,0,31,0,0,0,129,1
4,0,0,18,10645,0,7,0.5,1.45, BM-017,2,0,31,0,0,0,129,1
1,1,1,9,10652,1,6,7.5,7.75, BM-017,2,0,33,0,0,3,336,0
2,1,0,9,10652,1,6,6,6.4, BM-017,2,0,33,0,0,3,336,0
3,0,1,9,10652,1,6,5.5,5.95, BM-017,2,0,33,0,0,3,336,0
4,0,0,9,10652,1,6,7,7.3, BM-017,2,0,33,0,0,3,336,0
1,1,1,12,10656,0,4,3.5,4.15, BM-009,2,0,20,0,0,0,65,1
2,1,0,12,10656,0,4,2.5,3.25, BM-009,2,0,20,0,0,0,65,1
3,0,1,12,10656,0,4,2.5,3.25, BM-009,2,0,20,0,0,0,65,1
4,0,0,12,10656,0,4,2.5,3.25, BM-009,2,0,20,0,0,0,65,1
1,1,1,16,10659,1,10,9.5,9.55, BM-017,2,0,30,0,1,18,58,1
2,1,0,16,10659,1,10,10,10, BM-017,2,0,30,0,1,18,58,1
3,0,1,16,10659,1,10,9.5,9.55, BM-017,2,0,30,0,1,18,58,1
4,0,0,16,10659,1,10,9.5,9.55, BM-017,2,0,30,0,1,18,58,1
1,1,1,2,1066,0,2,4.5,5.05, WM-023,1,0,40,0,0,1,222,1
2,1,0,2,1066,0,2,6,6.4, WM-023,1,0,40,0,0,1,222,1
3,0,1,2,1066,0,2,6,6.4, WM-023,1,0,40,0,0,1,222,1
4,0,0,2,1066,0,2,3,3.7, WM-023,1,0,40,0,0,1,222,1
1,1,1,15,10660,1,2,1,1.9, LM-200,3,0,23,0,0,0,45,0
2,1,0,15,10660,1,2,2,2.8, LM-200,3,0,23,0,0,0,45,0
3,0,1,15,10660,1,2,3,3.7, LM-200,3,0,23,0,0,0,45,0
4,0,0,15,10660,1,2,3.5,4.15, LM-200,3,0,23,0,0,0,45,0
1,1,1,19,10673,1,7,7.5,7.75, BF-007,2,1,29,0,1,7,15,1
2,1,0,19,10673,1,7,9.5,9.55, BF-007,2,1,29,0,1,7,15,1
3,0,1,19,10673,1,7,10,10, BF-007,2,1,29,0,1,7,15,1
4,0,0,19,10673,1,7,9,9.1, BF-007,2,1,29,0,1,7,15,1
1,1,1,7,10677,1,9,10,10, BM-004,2,0,29,0,0,10,169,1
2,1,0,7,10677,1,9,9.5,9.55, BM-004,2,0,29,0,0,10,169,1
3,0,1,7,10677,1,9,9,9.1, BM-004,2,0,29,0,0,10,169,1
4,0,0,7,10677,1,9,9.5,9.55, BM-004,2,0,29,0,0,10,169,1
1,1,1,13,10686,0,1,0.5,1.45, WM-018,1,0,36,0,0,0,404,1
2,1,0,13,10686,0,1,1,1.9, WM-018,1,0,36,0,0,0,404,1
3,0,1,13,10686,0,1,2.5,3.25, WM-018,1,0,36,0,0,0,404,1
4,0,0,13,10686,0,1,1,1.9, WM-018,1,0,36,0,0,0,404,1
1,1,1,19,10699,1,10,9.5,9.55, empty,2,0,57,0,0,28,306,1
2,1,0,19,10699,1,10,10,10, empty,2,0,57,0,0,28,306,1
3,0,1,19,10699,1,10,10,10, empty,2,0,57,0,0,28,306,1
4,0,0,19,10699,1,10,8.5,8.65, empty,2,0,57,0,0,28,306,1
1,1,1,4,10700,1,10,10,10, BM-012,2,0,36,1,2,14,306,1
2,1,0,4,10700,1,10,10,10, BM-012,2,0,36,1,2,14,306,1
3,0,1,4,10700,1,10,10,10, BM-012,2,0,36,1,2,14,306,1
