campaignNumber,blockID,defID,imageBW,imageID,groundTruth,compasScore,turkerScore1to10,defAge,defGender,defRace,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeID,defChargeDegree
study2,1,61,0, BF-211,0,2,8.2,51,1,2,0,0,7,306,1
study2,1,61,1, WF-237,0,2,9.1,51,1,2,0,0,7,306,1
study2,1,1024,0, BM-013,0,2,4.15,27,0,2,0,0,0,306,0
study2,1,1024,1, WM-015,0,2,3.25,27,0,2,0,0,0,306,0
study2,1,1443,0, BM-033,1,5,3.7,45,0,2,0,0,0,318,1
study2,1,1443,1, WM-220,1,5,4.6,45,0,2,0,0,0,318,1
study2,1,1733,0, BF-224,0,7,8.65,52,1,1,0,0,6,381,0
study2,1,1733,1, WF-240,0,7,8.2,52,1,1,0,0,6,381,0
study2,1,2719,0, BM-003,1,4,5.5,23,0,2,0,0,1,167,1
study2,1,2719,1, WM-006,1,4,5.5,23,0,2,0,0,1,167,1
study2,1,3398,0, BM-037,1,10,9.1,21,0,2,1,2,3,92,1
study2,1,3398,1, WM-025,1,10,9.55,21,0,2,1,2,3,92,1
study2,1,3732,0, BM-010,0,1,4.15,26,0,2,0,0,1,93,0
study2,1,3732,1, WM-010,0,1,2.8,26,0,2,0,0,1,93,0
study2,1,4766,0, BM-001,1,9,7.75,26,0,1,0,0,2,190,1
study2,1,4766,1, WM-003,1,9,9.1,26,0,1,0,0,2,190,1
study2,1,4767,0, BM-025,0,2,8.65,39,0,1,0,0,3,306,1
study2,1,4767,1, WM-201,0,2,8.2,39,0,1,0,0,3,306,1
study2,1,5438,0, BM-009,1,10,6.85,20,0,2,0,0,1,186,1
study2,1,5438,1, WM-001,1,10,6.4,20,0,2,0,0,1,186,1
study2,1,5557,0, BM-212,1,4,2.8,51,0,2,0,0,0,423,0
study2,1,5557,1, WM-223,1,4,4.15,51,0,2,0,0,0,423,0
study2,1,5593,0, BM-021,1,4,7.75,37,0,1,0,0,4,21,0
study2,1,5593,1, WM-023,1,4,9.1,37,0,1,0,0,4,21,0
study2,1,5647,0, BF-024,1,1,1.9,42,1,2,0,0,0,133,0
study2,1,5647,1, WF-014,1,1,1.45,42,1,2,0,0,0,133,0
study2,1,6064,0, BF-007,0,2,1.9,31,1,1,0,0,0,45,0
study2,1,6064,1, WF-002,0,2,1.45,31,1,1,0,0,0,45,0
study2,1,7652,0, BM-005,1,8,9.55,25,0,2,0,0,8,172,1
study2,1,7652,1, WM-009,1,8,9.55,25,0,2,0,0,8,172,1
study2,1,8104,0, BF-202,0,6,9.55,42,1,2,0,0,16,336,1
study2,1,8104,1, WF-216,0,6,10,42,1,2,0,0,16,336,1
study2,1,8141,0, BM-036,0,4,1.45,21,0,1,0,0,0,400,1
study2,1,8141,1, WM-024,0,4,1,21,0,1,0,0,0,400,1
study2,1,8267,0, BM-034,1,3,5.95,46,0,2,0,0,3,371,1
study2,1,8267,1, WM-221,1,3,7.3,46,0,2,0,0,3,371,1
study2,1,8307,0, BF-203,0,6,8.2,53,1,2,0,0,5,413,1
study2,1,8307,1, WF-221,0,6,6.85,53,1,2,0,0,5,413,1
study2,1,8613,0, BM-017,0,2,5.5,33,0,1,0,0,2,133,0
study2,1,8613,1, WM-012,0,2,6.85,33,0,1,0,0,2,133,0
study2,1,8827,0, BM-002,0,3,9.1,26,0,3,0,0,5,129,1
study2,1,8827,1, WM-004,0,3,9.55,26,0,3,0,0,5,129,1
study2,1,9924,0, BM-004,1,3,3.7,29,0,1,0,0,0,15,1
study2,1,9924,1, WM-002,1,3,3.7,29,0,1,0,0,0,15,1
study2,1,10307,0, BM-011,0,6,9.1,31,0,2,2,0,6,169,1
study2,1,10307,1, WM-011,0,6,9.1,31,0,2,2,0,6,169,1
study2,1,10406,0, BM-012,0,7,5.95,43,0,2,0,0,2,306,1
study2,1,10406,1, WM-018,0,7,6.4,43,0,2,0,0,2,306,1
study2,1,10452,0, BF-027,0,1,1.9,44,1,2,0,0,0,379,1
study2,1,10452,1, WF-026,0,1,1.9,44,1,2,0,0,0,379,1
study2,2,375,0, BM-011,0,2,8.65,30,0,1,0,0,4,159,1
study2,2,375,1, WM-011,0,2,6.85,30,0,1,0,0,4,159,1
study2,2,408,0, BF-005,0,3,3.7,22,1,1,0,0,1,246,1
study2,2,408,1, WF-006,0,3,4.15,22,1,1,0,0,1,246,1
study2,2,794,0, BM-022,1,5,9.1,29,0,2,0,0,5,253,1
study2,2,794,1, WM-016,1,5,9.1,29,0,2,0,0,5,253,1
study2,2,913,0, BM-004,1,8,7.75,31,0,2,0,0,3,425,0
study2,2,913,1, WM-002,1,8,8.65,31,0,2,0,0,3,425,0
study2,2,1066,0, BM-021,0,2,4.6,40,0,1,0,0,1,222,1
study2,2,1066,1, WM-023,0,2,4.6,40,0,1,0,0,1,222,1
study2,2,1103,0, BM-002,0,8,3.7,22,0,2,0,0,0,246,1
study2,2,1103,1, WM-004,0,8,3.25,22,0,2,0,0,0,246,1
study2,2,1941,0, BM-003,0,1,2.35,28,0,2,0,0,0,134,0
study2,2,1941,1, WM-006,0,1,1,28,0,2,0,0,0,134,0
study2,2,2002,0, BM-213,0,5,9.1,49,0,1,0,0,12,283,0
study2,2,2002,1, WM-248,0,5,9.1,49,0,1,0,0,12,283,0
study2,2,3010,0, empty2,0,1,1.45,58,0,1,0,0,0,132,0
study2,2,3010,1, empty2,0,1,1,58,0,1,0,0,0,132,0
study2,2,3248,0, empty2,1,1,8.2,70,0,1,0,0,11,306,1
study2,2,3248,1, empty2,1,1,8.2,70,0,1,0,0,11,306,1
study2,2,3854,0, BM-001,1,3,5.05,22,0,2,0,0,1,190,1
study2,2,3854,1, WM-003,1,3,5.95,22,0,2,0,0,1,190,1
study2,2,4098,0, BM-015,1,4,8.65,26,0,2,0,0,4,344,1
study2,2,4098,1, WM-017,1,4,9.1,26,0,2,0,0,4,344,1
study2,2,4546,0, BM-017,1,1,3.7,32,0,2,0,0,0,306,1
study2,2,4546,1, WM-012,1,1,2.8,32,0,2,0,0,0,306,1
study2,2,4640,0, BM-013,1,10,10,25,0,2,0,1,10,112,1
study2,2,4640,1, WM-015,1,10,9.1,25,0,2,0,1,10,112,1
study2,2,4860,0, BF-001,0,2,1.45,24,1,2,0,0,0,45,0
study2,2,4860,1, WF-001,0,2,1.45,24,1,2,0,0,0,45,0
study2,2,4943,0, BM-034,1,9,9.55,46,0,2,1,0,9,190,1
study2,2,4943,1, WM-221,1,9,9.55,46,0,2,1,0,9,190,1
study2,2,4977,0, BM-012,1,7,9.55,39,0,1,6,1,17,306,1
study2,2,4977,1, WM-018,1,7,9.55,39,0,1,6,1,17,306,1
study2,2,4991,0, empty2,1,3,9.55,58,0,2,0,0,10,306,1
study2,2,4991,1, empty2,1,3,9.55,58,0,2,0,0,10,306,1
study2,2,5049,0, BF-004,0,2,2.35,26,1,1,0,0,0,128,0
study2,2,5049,1, WF-005,0,2,1.45,26,1,1,0,0,0,128,0
study2,2,5765,0, BM-212,0,9,9.55,51,0,2,1,0,19,175,1
study2,2,5765,1, WM-223,0,9,9.55,51,0,2,1,0,19,175,1
study2,2,7834,0, BM-020,0,2,4.6,33,0,2,0,0,1,169,1
study2,2,7834,1, WM-014,0,2,3.7,33,0,2,0,0,1,169,1
study2,2,7897,0, BF-003,1,5,1.9,24,1,1,0,0,0,45,0
study2,2,7897,1, WF-003,1,5,1,24,1,1,0,0,0,45,0
study2,2,7920,0, BM-005,0,4,2.8,22,0,2,0,0,0,289,1
study2,2,7920,1, WM-009,0,4,2.8,22,0,2,0,0,0,289,1
study2,2,8046,0, BM-010,1,10,9.55,27,0,2,0,0,13,246,1
study2,2,8046,1, WM-010,1,10,9.55,27,0,2,0,0,13,246,1
study2,2,10502,0, BM-018,0,1,1.45,31,0,1,0,0,0,169,1
study2,2,10502,1, WM-013,0,1,1.9,31,0,1,0,0,0,169,1
study2,3,999,0, BM-012,1,1,3.7,38,0,1,0,0,1,90,1
study2,3,999,1, WM-018,1,1,6.4,38,0,1,0,0,1,90,1
study2,3,2338,0, empty2,0,1,1.9,59,0,3,0,0,0,133,0
study2,3,2338,1, empty2,0,1,1,59,0,3,0,0,0,133,0
study2,3,2624,0, BM-034,1,2,4.6,51,0,2,0,0,0,306,1
study2,3,2624,1, WM-221,1,2,5.05,51,0,2,0,0,0,306,1
study2,3,2685,0, BF-002,0,5,2.8,21,1,2,0,0,0,190,1
study2,3,2685,1, WF-022,0,5,4.15,21,1,2,0,0,0,190,1
study2,3,2691,0, BM-213,0,1,2.8,54,0,2,0,0,0,368,0
study2,3,2691,1, WM-248,0,1,5.05,54,0,2,0,0,0,368,0
study2,3,3768,0, BF-024,0,1,3.25,36,1,2,0,0,1,45,0
study2,3,3768,1, WF-014,0,1,5.95,36,1,2,0,0,1,45,0
study2,3,4029,0, BM-003,1,2,2.8,28,0,3,0,0,0,45,0
study2,3,4029,1, WM-006,1,2,1.9,28,0,3,0,0,0,45,0
study2,3,4082,0, BM-005,1,5,3.7,24,0,1,0,0,0,375,1
study2,3,4082,1, WM-009,1,5,3.7,24,0,1,0,0,0,375,1
study2,3,4126,0, BM-017,1,2,3.25,30,0,2,0,0,0,319,1
study2,3,4126,1, WM-012,1,2,5.5,30,0,2,0,0,0,319,1
study2,3,4426,0, BF-027,0,2,2.35,43,1,1,0,0,0,186,0
study2,3,4426,1, WF-026,0,2,3.25,43,1,1,0,0,0,186,0
study2,3,4620,0, BM-021,0,2,3.25,41,0,1,0,0,0,306,1
study2,3,4620,1, WM-023,0,2,5.95,41,0,1,0,0,0,306,1
study2,3,5607,0, BM-025,0,3,8.65,38,0,1,0,0,2,311,1
study2,3,5607,1, WM-201,0,3,8.2,38,0,1,0,0,2,311,1
study2,3,5614,0, BM-004,1,8,8.2,33,0,2,0,0,2,10,1
study2,3,5614,1, WM-002,1,8,9.1,33,0,2,0,0,2,10,1
study2,3,6314,0, BM-009,1,6,4.15,20,0,1,0,0,0,187,1
study2,3,6314,1, WM-001,1,6,3.7,20,0,1,0,0,0,187,1
study2,3,6683,0, BF-001,1,6,9.1,24,1,2,0,0,3,244,0
study2,3,6683,1, WF-001,1,6,9.1,24,1,2,0,0,3,244,0
study2,3,7010,0, BM-218,1,3,9.55,54,0,2,0,0,4,306,1
study2,3,7010,1, WM-249,1,3,8.65,54,0,2,0,0,4,306,1
study2,3,7079,0, BM-010,0,7,9.1,25,0,1,0,0,3,280,1
study2,3,7079,1, WM-010,0,7,8.65,25,0,1,0,0,3,280,1
study2,3,7170,0, BM-016,0,5,5.95,22,0,1,0,0,0,306,1
study2,3,7170,1, WM-019,0,5,6.4,22,0,1,0,0,0,306,1
study2,3,7315,0, BM-015,1,5,7.3,24,0,2,0,0,2,45,0
study2,3,7315,1, WM-017,1,5,9.1,24,0,2,0,0,2,45,0
study2,3,7416,0, BM-001,0,1,8.65,26,0,3,0,0,2,45,0
study2,3,7416,1, WM-003,0,1,7.3,26,0,3,0,0,2,45,0
study2,3,7840,0, BM-013,0,2,6.4,22,0,1,0,0,1,190,1
