PartitionKey,RowKey,Timestamp,BlockNumber,CompletedCount,ConditionNumber,StartedCount
1,1,2019-01-12T20:25:00.778Z,1,22,1,28
1,2,2019-01-12T21:02:47.130Z,1,20,2,25
1,3,2019-01-12T20:47:57.478Z,1,20,3,28
1,4,2019-01-13T05:02:49.046Z,1,21,4,26
10,1,2019-01-12T04:00:09.685Z,10,20,1,23
10,2,2019-01-12T17:41:00.781Z,10,20,2,24
10,3,2019-01-12T17:23:15.988Z,10,20,3,27
10,4,2019-01-13T09:53:26.388Z,10,21,4,25
11,1,2019-01-13T05:17:26.261Z,11,21,1,28
11,2,2019-01-12T20:51:47.822Z,11,21,2,26
11,3,2019-01-12T07:26:40.530Z,11,21,3,28
11,4,2019-01-12T20:10:27.315Z,11,24,4,29
12,1,2019-01-13T06:05:18.103Z,12,23,1,33
12,2,2019-01-12T20:25:08.526Z,12,22,2,27
12,3,2019-01-13T06:08:13.462Z,12,22,3,30
12,4,2019-01-13T06:29:28.769Z,12,21,4,25
13,1,2019-01-12T07:34:39.044Z,13,20,1,24
13,2,2019-01-12T04:11:03.745Z,13,24,2,29
13,3,2019-01-13T05:06:10.555Z,13,21,3,25
13,4,2019-01-12T07:13:46.908Z,13,21,4,23
14,1,2019-01-12T04:05:43.435Z,14,20,1,25
14,2,2019-01-12T20:31:52.433Z,14,20,2,24
14,3,2019-01-12T04:07:14.106Z,14,22,3,25
14,4,2019-01-12T17:22:24.968Z,14,20,4,25
15,1,2019-01-13T06:16:08.546Z,15,20,1,27
15,2,2019-01-13T05:50:16.724Z,15,26,2,38
15,3,2019-01-12T20:15:55.669Z,15,20,3,21
15,4,2019-01-12T06:59:23.913Z,15,20,4,23
16,1,2019-01-13T05:11:45.399Z,16,22,1,27
16,2,2019-01-12T17:22:54.407Z,16,22,2,33
16,3,2019-01-13T06:35:34.064Z,16,21,3,24
16,4,2019-01-12T20:20:47.916Z,16,22,4,30
17,1,2019-01-12T17:29:24.195Z,17,20,1,25
17,2,2019-01-13T05:07:45.844Z,17,21,2,31
17,3,2019-01-13T05:45:59.997Z,17,21,3,27
17,4,2019-01-12T20:21:04.417Z,17,23,4,26
18,1,2019-01-13T05:38:38.889Z,18,26,1,37
18,2,2019-01-13T05:07:11.397Z,18,21,2,31
18,3,2019-01-12T20:12:28.708Z,18,23,3,30
18,4,2019-01-12T20:29:30.033Z,18,20,4,27
19,1,2019-01-12T20:53:28.554Z,19,20,1,23
19,2,2019-01-12T17:51:55.330Z,19,20,2,22
19,3,2019-01-12T20:16:07.166Z,19,22,3,27
19,4,2019-01-13T05:52:12.138Z,19,21,4,25
2,1,2019-01-12T07:46:24.094Z,2,20,1,24
2,2,2019-01-13T06:06:54.527Z,2,21,2,27
2,3,2019-01-12T21:30:21.301Z,2,20,3,25
2,4,2019-01-13T06:11:52.594Z,2,20,4,30
20,1,2019-01-13T05:54:04.938Z,20,24,1,33
20,2,2019-01-13T06:20:39.845Z,20,24,2,30
20,3,2019-01-12T17:14:55.974Z,20,20,3,27
20,4,2019-01-12T20:27:53.663Z,20,21,4,28
3,1,2019-01-12T21:00:16.782Z,3,20,1,30
3,2,2019-01-12T20:13:05.440Z,3,21,2,27
3,3,2019-01-12T20:32:12.163Z,3,20,3,29
3,4,2019-01-13T06:05:28.812Z,3,23,4,28
4,1,2019-01-13T05:14:15.118Z,4,21,1,25
4,2,2019-01-12T03:55:29.438Z,4,20,2,23
4,3,2019-01-12T02:39:29.158Z,4,24,3,27
4,4,2019-01-12T07:29:28.945Z,4,20,4,23
5,1,2019-01-13T05:59:33.127Z,5,21,1,27
5,2,2019-01-13T06:03:21.071Z,5,22,2,28
5,3,2019-01-13T06:05:15.694Z,5,23,3,32
5,4,2019-01-12T20:28:49.801Z,5,23,4,25
6,1,2019-01-13T06:18:02.801Z,6,21,1,27
6,2,2019-01-13T05:13:21.345Z,6,20,2,31
6,3,2019-01-12T07:01:27.577Z,6,20,3,21
6,4,2019-01-13T06:07:28.429Z,6,23,4,29
7,1,2019-01-13T05:46:26.224Z,7,27,1,37
7,2,2019-01-12T17:14:20.844Z,7,20,2,26
7,3,2019-01-12T07:29:15.638Z,7,21,3,23
7,4,2019-01-13T06:01:05.656Z,7,27,4,33
8,1,2019-01-12T17:13:41.191Z,8,20,1,26
8,2,2019-01-13T05:40:42.157Z,8,26,2,34
8,3,2019-01-13T05:06:34.885Z,8,22,3,33
8,4,2019-01-13T05:09:49.227Z,8,21,4,26
9,1,2019-01-13T05:21:11.132Z,9,22,1,29
9,2,2019-01-13T05:08:12.533Z,9,21,2,27
9,3,2019-01-13T05:43:34.665Z,9,24,3,31
9,4,2019-01-12T20:46:08.059Z,9,21,4,27
