PartitionKey,RowKey,Timestamp,ResultDateTime,BlockId,ConditionId,CampaignNumber,FeedBackIsOn,WorkerId,Age,Gender,Race,Education,Factor,Code,Score,CatchFailCorrectCount,Responses,StudyDuration
20190506232831004,,2019-05-06T23:28:31.154Z,2019-05-06T23:28:31.052Z,3,1,study2,false,AAIQLE701DI9U,25-34,male,caucasian,high-school,Age; Number of Prior Crimes; Crime Description; Juvenile Misdemeanor Count; Felony/Misdemeanor Status; Juvenile Felony Count; Ethnicity; Image; Gender; ,nxsevcp6q266n5jshn111w5p1,27,3," empty2:2338:white:No:No, BF-027:4426:black:Yes:No, BM-016:7170:black:Yes:No, BM-218:7010:black:Yes:Yes, WM-009:4082:white:Yes:Yes, WM-004:8099:white:No:No, WF-001:6683:white:Yes:Yes, WM-201:5607:white:Yes:No, BM-009:6314:black:Yes:Yes, BM-012:999:black:Yes:Yes, WM-015:7840:white:No:No, WM-023:4620:white:No:No, WM-017:7315:white:Yes:Yes, WF-014:3768:white:Yes:No, WM-221:2624:white:No:Yes, BM-010:7079:black:Yes:No, BM-003:4029:black:No:Yes, WM-223:10448:white:Yes:Yes, BM-011:9889:black:Yes:No, BM-213:2691:black:No:No, BM-225:8909:black:No:No, WF-022:2685:white:Yes:No, WM-003:7416:white:Yes:No, WM-012:4126:white:Yes:Yes, WM-002:5614:white:Yes:Yes, WM-006:4029:white:No:Yes, BM-025:5607:black:No:No, BM-021:4620:black:No:No, WM-019:7170:white:Yes:No, BM-017:4126:black:Yes:Yes, WM-249:7010:white:No:Yes, BM-001:7416:black:Yes:No, WM-001:6314:white:No:Yes, WM-010:7079:white:Yes:No, BF-024:3768:black:No:No, WM-018:999:white:Yes:Yes, WM-011:9889:white:Yes:No, BF-001:6683:black:Yes:Yes, BM-212:10448:black:Yes:Yes, BM-004:5614:black:Yes:Yes, BM-005:4082:black:No:Yes, BM-015:7315:black:No:Yes, BM-034:2624:black:No:Yes, BM-013:7840:black:No:No, empty2:2338:black:No:No, BF-002:2685:black:Yes:No, empty2:8909:white:No:No, WF-026:4426:white:Yes:No, BM-002:8099:black:No:No, WM-248:2691:white:Yes:No",431
20190506232909357,,2019-05-06T23:29:09.454Z,2019-05-06T23:29:09.357Z,7,1,study2,false,A38QGJJOZANQ4B,25-34,male,caucasian,associates,Number of Prior Crimes; Ethnicity; Image; Age; Gender; Felony/Misdemeanor Status; Crime Description; Juvenile Felony Count; Juvenile Misdemeanor Count; ,nxsy7xke5ofkbnus4oyo8dqb1BB,39,3," WM-023:3642:white:Yes:Yes, BM-010:2897:black:No:Yes, WF-006:6980:white:Yes:Yes, WM-003:6319:white:Yes:Yes, WF-005:5850:white:Yes:Yes, BM-017:10677:black:Yes:Yes, BM-003:10134:black:Yes:Yes, BM-025:3692:black:Yes:Yes, BM-034:10721:black:No:No, BM-002:9268:black:No:Yes, BF-007:4028:black:No:No, WM-002:3246:white:No:No, BF-002:3408:black:No:Yes, BM-018:2854:black:Yes:Yes, BF-003:5223:black:Yes:Yes, BM-012:6801:black:No:No, BM-009:2937:black:No:Yes, BM-218:2353:black:No:No, BF-001:1871:black:Yes:Yes, WF-018:9979:white:No:No, WF-008:2718:white:No:Yes, WM-009:700:white:Yes:Yes, WM-248:4609:white:No:No, WM-223:5993:white:No:No, BM-011:9524:black:Yes:No, WM-004:9268:white:Yes:Yes, BF-004:5850:black:Yes:Yes, WM-011:9524:white:Yes:No, WM-006:10134:white:Yes:Yes, WM-013:2854:white:Yes:Yes, BF-009:2718:black:No:Yes, WM-201:3692:white:Yes:Yes, WM-221:10721:white:Yes:No, WF-022:3408:white:No:Yes, WM-001:2937:white:No:Yes, BF-005:6980:black:Yes:Yes, BM-213:4609:black:No:No, BM-005:700:black:Yes:Yes, WM-012:10677:white:Yes:Yes, BM-004:3246:black:No:No, BM-212:5993:black:No:No, WM-010:2897:white:Yes:Yes, WM-249:2353:white:No:No, WF-002:4028:white:No:No, WF-001:1871:white:Yes:Yes, BM-021:3642:black:Yes:Yes, WF-003:5223:white:Yes:Yes, WM-018:6801:white:No:No, BM-001:6319:black:Yes:Yes, BF-010:9979:black:No:No",406
20190506232926392,,2019-05-06T23:29:26.497Z,2019-05-06T23:29:26.392Z,32,1,study2,false,AI57RR8OF4MR7,25-34,female,other-ethnicity,bachelors,Number of Prior Crimes; Felony/Misdemeanor Status; Crime Description; Juvenile Felony Count; Juvenile Misdemeanor Count; Ethnicity; Image; Gender; Age; ,nxs9w4h51rri0ewvh8h8p5vl1,32,3," BM-017:9523:black:Yes:Yes, WM-006:9597:white:No:No, BM-044:1578:black:Yes:No, BF-007:6574:black:Yes:Yes, WM-220:5678:white:Yes:Yes, BF-004:2765:black:No:No, BM-212:7112:black:Yes:Yes, empty2:4186:white:No:No, BM-020:10935:black:Yes:Yes, BM-034:9785:black:No:No, WM-004:1629:white:Yes:No, WF-003:6000:white:No:Yes, BM-001:1943:black:No:Yes, BM-213:510:black:Yes:No, WF-001:5454:white:No:Yes, WM-024:10656:white:No:No, BM-018:4881:black:No:No, BM-012:4701:black:Yes:No, WM-201:7234:white:No:No, BM-009:7675:black:No:Yes, WM-023:7640:white:No:Yes, BF-203:9246:black:No:No, BF-002:3508:black:No:No, BM-004:4643:black:Yes:Yes, WM-011:215:white:Yes:No, WF-022:3508:white:No:No, BM-021:7640:black:No:Yes, BM-011:215:black:Yes:No, WM-001:7675:white:No:Yes, WM-221:9785:white:No:No, empty2:4186:black:No:No, WM-018:4701:white:Yes:No, WF-005:2765:white:No:No, WM-003:1943:white:No:Yes, BF-003:6000:black:No:Yes, BF-001:5454:black:No:Yes, WM-223:7112:white:Yes:Yes, WF-002:6574:white:Yes:Yes, BM-003:9597:black:No:No, WM-013:4881:white:No:No, WM-012:9523:white:Yes:Yes, BM-025:7234:black:No:No, BM-036:10656:black:No:No, WM-002:4643:white:Yes:Yes, WF-221:9246:white:No:No, WM-014:10935:white:Yes:Yes, WM-248:510:white:No:No, BM-033:5678:black:Yes:Yes, BM-002:1629:black:Yes:No, WM-225:1578:white:No:No",198
20190506233313321,,2019-05-06T23:33:13.355Z,2019-05-06T23:33:13.321Z,29,1,study2,false,A1BXEU20OCUGVZ,25-34,female,caucasian,bachelors,Number of Prior Crimes; Felony/Misdemeanor Status; Juvenile Felony Count; Juvenile Misdemeanor Count; Crime Description; Age; Gender; ,nxsh5t957b2ntce0acp5tirvb1BB,36,3," BM-009:9852:black:Yes:Yes, BM-032:9163:black:Yes:Yes, WM-003:5370:white:No:No, WF-014:5096:white:No:No, BM-004:5821:black:Yes:No, WM-018:919:white:No:Yes, BM-003:9746:black:No:No, BM-017:5745:black:Yes:No, WF-001:9811:white:Yes:Yes, WM-029:1314:white:Yes:Yes, BF-003:2405:black:No:No, empty2:2780:black:No:No, empty2:8891:black:Yes:Yes, BM-029:8253:black:No:No, WM-011:3298:white:Yes:No, WM-022:1446:white:Yes:No, WF-221:4441:white:No:No, BM-020:9040:black:Yes:No, BM-212:4510:black:No:No, WM-013:6862:white:Yes:No, WM-016:730:white:No:No, WM-004:10167:white:Yes:Yes, BM-021:6595:black:No:No, BM-034:9534:black:Yes:Yes, WM-009:807:white:No:No, WM-020:8253:white:No:No, WM-002:5821:white:Yes:No, BF-203:4441:black:No:No, WM-014:9040:white:Yes:No, BM-018:6862:black:Yes:No, WM-021:9163:white:Yes:Yes, WM-012:5745:white:Yes:No, empty2:8891:white:Yes:Yes, BM-012:919:black:No:Yes, BM-001:5370:black:No:No, BF-001:9811:black:Yes:Yes, BM-002:10167:black:Yes:Yes, BM-038:1446:black:No:No, WM-001:9852:white:No:Yes, WF-003:2405:white:No:No, BM-022:730:black:No:No, WM-023:6595:white:No:No, BM-005:807:black:No:No, WM-006:9746:white:No:No, WM-221:9534:white:Yes:Yes, BM-041:1314:black:Yes:Yes, WM-223:4510:white:No:No, empty2:2780:white:No:No, BF-024:5096:black:No:No, BM-011:3298:black:Yes:No",539
20190506233634835,,2019-05-06T23:36:34.860Z,2019-05-06T23:36:34.835Z,30,1,study2,false,A20ZH426QI5KTO,25-34,female,caucasian,masters,Crime Description; Number of Prior Crimes; Image; Ethnicity; ,nxsby6qebbguufb2rad244f0,25,0," WM-001:10949:white:Yes:Yes, WM-003:8471:white:No:Yes, WM-201:4593:white:Yes:No, BM-021:208:black:Yes:Yes, WF-022:1300:white:No:No, WM-013:7847:white:Yes:No, WM-004:6690:white:Yes:Yes, BM-015:1718:black:No:Yes, WM-012:5563:white:Yes:Yes, BM-011:5623:black:Yes:Yes, WM-018:7148:white:Yes:No, WM-009:22:white:No:No, WM-014:7099:white:No:No, BM-029:5387:black:Yes:Yes, WM-010:2841:white:Yes:No, BM-034:4754:black:Yes:No, WM-002:4182:white:Yes:No, WM-006:5069:white:No:Yes, BM-037:480:black:Yes:Yes, WM-024:3110:white:No:Yes, BM-212:3255:black:No:No, BM-033:3952:black:No:No, WF-002:8438:white:Yes:Yes, BM-013:9229:black:Yes:No, BM-022:10136:black:No:Yes, WM-015:9229:white:Yes:No, BM-004:4182:black:Yes:No, WM-221:4754:white:Yes:No, BM-009:10949:black:Yes:Yes, BM-017:5563:black:Yes:Yes, WM-023:208:white:Yes:Yes, WM-017:1718:white:Yes:Yes, WM-025:480:white:No:Yes, BF-002:1300:black:No:No, BM-020:7099:black:Yes:No, BF-007:8438:black:Yes:Yes, WM-011:5623:white:Yes:Yes, BM-002:6690:black:Yes:Yes, BM-025:4593:black:No:No, WM-020:5387:white:Yes:Yes, BM-018:7847:black:Yes:No, WM-223:3255:white:Yes:No, WM-220:3952:white:Yes:No, BM-003:5069:black:No:Yes, WM-016:10136:white:Yes:Yes, BM-012:7148:black:Yes:No, BM-036:3110:black:No:Yes, BM-010:2841:black:Yes:No, BM-005:22:black:Yes:No, BM-001:8471:black:Yes:Yes",121
20190506233659023,,2019-05-06T23:36:59.102Z,2019-05-06T23:36:59.023Z,9,1,study2,false,A2KX4U2D5MRB3S,25-34,female,caucasian,bachelors,Number of Prior Crimes; Age; Gender; Felony/Misdemeanor Status; Juvenile Felony Count; Ethnicity; Image; Crime Description; Juvenile Misdemeanor Count; ,nxsgj3fnnd2qnn1br528ejey40,26,1," BM-003:5420:black:No:Yes, BM-009:5670:black:No:Yes, BM-020:10985:black:Yes:Yes, BM-034:5342:black:Yes:No, WM-009:8292:white:Yes:Yes, BM-002:6916:black:No:No, BF-001:1212:black:No:Yes, empty2:8259:white:Yes:No, BM-013:1559:black:No:No, WM-011:10369:white:No:No, BM-018:10652:black:Yes:Yes, WM-002:5074:white:Yes:Yes, WF-005:9367:white:Yes:Yes, WM-012:8118:white:Yes:No, WM-023:2567:white:Yes:No, WF-014:8847:white:Yes:Yes, WF-003:8705:white:No:Yes, WM-003:5600:white:No:Yes, WM-223:1689:white:No:Yes, WM-010:10925:white:No:Yes, BM-025:7323:black:Yes:Yes, BF-002:9055:black:No:Yes, WM-220:7178:white:Yes:Yes, WF-002:8791:white:No:No, BM-012:8306:black:Yes:Yes, WM-221:5342:white:Yes:No, BF-004:9367:black:Yes:Yes, BM-004:5074:black:No:Yes, WM-001:5670:white:No:Yes, BM-010:10925:black:No:Yes, WM-201:7323:white:Yes:Yes, BM-033:7178:black:Yes:Yes, WF-022:9055:white:No:Yes, BM-001:5600:black:No:Yes, BM-011:10369:black:No:No, BM-212:1689:black:Yes:Yes, empty2:8259:black:No:No, WF-001:1212:white:No:Yes, BF-024:8847:black:Yes:Yes, BF-007:8791:black:No:No, WM-014:10985:white:Yes:Yes, WM-018:8306:white:Yes:Yes, BM-005:8292:black:Yes:Yes, WM-004:6916:white:No:No, BM-017:8118:black:Yes:No, WM-006:5420:white:No:Yes, BM-021:2567:black:Yes:No, WM-013:10652:white:Yes:Yes, BF-003:8705:black:No:Yes, WM-015:1559:white:Yes:No",514
20190506233732615,,2019-05-06T23:37:32.637Z,2019-05-06T23:37:32.615Z,7,1,study2,false,AIZTLQM7HHQN6,25-34,male,caucasian,bachelors,Crime Description; Number of Prior Crimes; Age; Juvenile Felony Count; Felony/Misdemeanor Status; Juvenile Misdemeanor Count; Ethnicity; ,nxsu8tywpn6mj7fhl5l7i78u1BB,39,3," WM-221:10721:white:Yes:No, WF-002:4028:white:No:No, WM-003:6319:white:Yes:Yes, BM-010:2897:black:Yes:Yes, WM-004:9268:white:No:Yes, BM-025:3692:black:Yes:Yes, WM-006:10134:white:Yes:Yes, BM-212:5993:black:No:No, BM-005:700:black:Yes:Yes, BF-009:2718:black:Yes:Yes, WM-013:2854:white:Yes:Yes, WM-248:4609:white:No:No, WM-023:3642:white:Yes:Yes, BF-004:5850:black:Yes:Yes, WF-003:5223:white:Yes:Yes, WM-011:9524:white:No:No, WM-001:2937:white:No:Yes, BF-002:3408:black:No:Yes, WM-012:10677:white:Yes:Yes, WM-002:3246:white:Yes:No, BM-218:2353:black:No:No, BF-001:1871:black:Yes:Yes, WF-018:9979:white:No:No, BF-005:6980:black:Yes:Yes, WM-018:6801:white:Yes:No, BM-017:10677:black:Yes:Yes, BM-012:6801:black:Yes:No, BM-018:2854:black:Yes:Yes, BM-213:4609:black:No:No, WM-010:2897:white:Yes:Yes, BM-011:9524:black:Yes:No, WF-022:3408:white:No:Yes, BM-004:3246:black:Yes:No, BM-001:6319:black:Yes:Yes, BM-009:2937:black:Yes:Yes, WF-006:6980:white:Yes:Yes, BM-021:3642:black:Yes:Yes, WM-009:700:white:Yes:Yes, WF-005:5850:white:Yes:Yes, BF-010:9979:black:No:No, WF-001:1871:white:Yes:Yes, BM-003:10134:black:Yes:Yes, BM-034:10721:black:Yes:No, BF-007:4028:black:No:No, BM-002:9268:black:Yes:Yes, WM-249:2353:white:No:No, WM-201:3692:white:Yes:Yes, WM-223:5993:white:No:No, WF-008:2718:white:Yes:Yes, BF-003:5223:black:Yes:Yes",605
20190506233948878,,2019-05-06T23:39:48.921Z,2019-05-06T23:39:48.878Z,23,1,study2,false,AI4AO0O0WIJF7,35-44,female,caucasian,high-school,Number of Prior Crimes; Felony/Misdemeanor Status; Crime Description; ,nxsnaovvc86kw9o91iw4wd4tb1,28,3," WM-223:9844:white:Yes:Yes, WF-003:10824:white:Yes:Yes, BF-002:526:black:Yes:No, WM-014:10919:white:Yes:Yes, BM-021:3510:black:Yes:Yes, empty2:4461:white:No:No, WM-016:8528:white:No:No, WM-221:9428:white:Yes:No, BM-018:505:black:No:No, WM-006:5352:white:No:Yes, empty2:10783:black:No:No, BM-017:5213:black:Yes:No, BM-005:7224:black:No:Yes, BM-004:10390:black:No:Yes, BM-029:7219:black:Yes:No, WM-010:1286:white:No:Yes, WF-005:9690:white:No:No, BM-012:5217:black:No:Yes, WM-201:3234:white:Yes:No, BM-001:4703:black:No:Yes, WF-221:1159:white:No:No, WM-004:1833:white:No:No, WF-006:2572:white:Yes:Yes, WF-001:10762:white:No:No, WM-011:5917:white:No:Yes, BM-010:1286:black:Yes:Yes, BF-003:10824:black:Yes:Yes, WM-009:7224:white:Yes:Yes, WM-013:505:white:No:No, WM-020:7219:white:Yes:No, BM-025:3234:black:Yes:No, WM-002:10390:white:Yes:Yes, BM-022:8528:black:No:No, BM-034:9428:black:Yes:No, BM-003:5352:black:No:Yes, BM-020:10919:black:Yes:Yes, WF-022:526:white:No:No, BF-004:9690:black:No:No, BM-011:5917:black:No:Yes, BF-203:1159:black:No:No, WM-003:4703:white:No:Yes, WM-018:5217:white:No:Yes, BM-002:1833:black:No:No, WM-012:5213:white:Yes:No, WM-023:3510:white:Yes:Yes, BM-212:9844:black:No:Yes, BF-005:2572:black:Yes:Yes, empty2:10783:white:No:No, BF-001:10762:black:No:No, empty2:4461:black:Yes:No",581
20190506234223190,,2019-05-06T23:42:23.288Z,2019-05-06T23:42:23.190Z,19,1,study2,false,A22QD6M0A2C77C,45-54,male,caucasian,associates,Felony/Misdemeanor Status; Crime Description; Number of Prior Crimes; Age; Juvenile Felony Count; Juvenile Misdemeanor Count; Gender; Ethnicity; Image; ,nxspe4h6psxqg0qb12ewacxcr1,26,3," BM-012:1576:black:Yes:Yes, BM-011:10277:black:Yes:No, WM-223:4692:white:No:No, WM-220:3751:white:Yes:Yes, BM-004:5669:black:Yes:Yes, BM-003:9221:black:No:Yes, WM-003:1343:white:No:Yes, BM-005:2329:black:Yes:Yes, WM-013:2076:white:No:Yes, WM-004:1146:white:No:Yes, BM-044:3788:black:No:No, WM-016:6094:white:Yes:Yes, WF-221:6267:white:No:Yes, WM-014:5754:white:Yes:Yes, WM-023:101:white:No:Yes, WM-017:2809:white:No:No, WM-012:10336:white:No:Yes, WM-221:10412:white:No:No, WF-002:10673:white:No:Yes, BM-010:6805:black:No:Yes, empty2:10302:black:Yes:No, BM-025:320:black:Yes:No, WF-014:7298:white:No:No, BM-013:10383:black:Yes:Yes, WM-248:837:white:No:Yes, BF-024:7298:black:No:No, BM-020:5754:black:Yes:Yes, WM-225:3788:white:No:No, BM-018:2076:black:No:Yes, WM-201:320:white:Yes:No, BF-007:10673:black:Yes:Yes, empty2:10302:white:Yes:No, BM-015:2809:black:No:No, BM-213:837:black:No:Yes, BM-034:10412:black:No:No, WM-018:1576:white:Yes:Yes, BM-021:101:black:Yes:Yes, WM-010:6805:white:No:Yes, BM-017:10336:black:No:Yes, BM-033:3751:black:Yes:Yes, WM-015:10383:white:Yes:Yes, WM-011:10277:white:Yes:No, BM-002:1146:black:No:Yes, WM-002:5669:white:Yes:Yes, WM-006:9221:white:No:Yes, BM-212:4692:black:No:No, BM-001:1343:black:No:Yes, BF-203:6267:black:No:Yes, BM-022:6094:black:Yes:Yes, WM-009:2329:white:Yes:Yes",402
20190506234247071,,2019-05-06T23:42:47.107Z,2019-05-06T23:42:47.071Z,18,1,study2,false,A36F0LGCDG3741,45-54,female,african-american,bachelors,,nxse2v7tbbiqm71xyjvyqucvk0,20,1," WF-003:9277:white:Yes:No, WM-003:2053:white:Yes:No, WF-022:8358:white:Yes:No, WM-004:2723:white:Yes:Yes, WM-012:4719:white:Yes:No, WM-017:8832:white:Yes:Yes, BM-021:2216:black:Yes:No, BM-012:8205:black:Yes:Yes, BM-010:3847:black:No:Yes, empty2:7269:white:Yes:No, BM-018:10645:black:Yes:No, WM-019:2794:white:No:Yes, WM-026:10946:white:No:No, BM-003:9219:black:Yes:No, WM-011:8501:white:Yes:Yes, empty2:9235:black:Yes:No, WM-221:2613:white:No:No, WM-015:10841:white:No:Yes, WM-014:7411:white:Yes:No, WM-001:4971:white:Yes:Yes, BM-023:364:black:Yes:No, WF-014:4164:white:Yes:No, WM-009:4368:white:Yes:Yes, BM-004:6766:black:Yes:Yes, WF-001:400:white:Yes:Yes, BM-009:4971:black:No:Yes, BF-024:4164:black:No:No, WM-002:6766:white:No:Yes, WM-006:9219:white:Yes:No, WM-010:3847:white:Yes:Yes, empty2:9235:white:Yes:No, BM-034:2613:black:Yes:No, BM-002:2723:black:Yes:Yes, WM-023:2216:white:Yes:No, BM-016:2794:black:Yes:Yes, BM-001:2053:black:Yes:No, BM-015:8832:black:No:Yes, WM-018:8205:white:Yes:Yes, WM-013:10645:white:No:No, BM-017:4719:black:Yes:No, WM-028:364:white:Yes:No, BF-003:9277:black:Yes:No, BM-013:10841:black:Yes:Yes, BF-002:8358:black:Yes:No, BM-011:8501:black:No:Yes, BF-001:400:black:Yes:Yes, BM-005:4368:black:Yes:Yes, BM-020:7411:black:No:No, BM-019:10946:black:Yes:No, empty2:7269:black:Yes:No",87
