PartitionKey,RowKey,Timestamp,ResultDateTime,BlockId,ConditionId,CampaignNumber,FeedBackIsOn,WorkerId,Age,Gender,Race,Education,Factor,Code,Score,CatchFailCorrectCount,Responses,StudyDuration
20190110205646977,,2019-01-10T20:56:47.035Z,2019-01-10T20:56:46.977Z,13,4,p1,true,A1MJVTR0PCKBWW,25-34,female,caucasian,bachelors,Age; Crime Description; Number of Prior Crimes; Felony/Misdemeanor Status; ,nxsf80gy6k2x3sncizolwwvyc0,23,2," BM-017:2519:Yes:Yes, BF-003:4834:No:No, BM-021:5727:Yes:No, BM-002:7581:No:Yes, BM-001:8285:Yes:Yes, WM-018:10686:Yes:No, BM-013:9745:No:Yes, WM-001:5535:No:Yes, WM-006:366:Yes:Yes, BM-012:4933:Yes:No, empty:1530:Yes:No, BM-015:8355:Yes:No, WM-248:2484:Yes:No, LM-215:5128:No:No, empty:4476:Yes:Yes, WM-002:4612:Yes:Yes, BM-025:2681:No:No, BM-010:10975:Yes:No, WM-249:6570:Yes:No, WM-012:7821:No:No, BF-001:8000:Yes:Yes, BM-033:6631:No:Yes, WM-004:6661:No:No, WF-001:1874:No:No, LM-201:3113:No:Yes, WM-201:1682:Yes:No, BM-011:8264:No:Yes, empty:6022:Yes:Yes, BF-211:3636:Yes:No, BF-203:10449:Yes:No, BM-018:9475:No:No, WM-024:5138:Yes:Yes, BM-003:2654:Yes:No, WF-002:8794:No:No, BM-016:10643:Yes:No, BM-005:2865:Yes:Yes, BM-034:3480:Yes:No, BF-007:1144:Yes:No, LF-200:10243:Yes:No, BM-004:210:No:Yes, WM-220:9041:Yes:No, WM-223:5921:Yes:Yes, BM-009:7488:No:Yes, WM-003:2446:Yes:Yes, BF-027:7381:Yes:No, WM-011:8761:Yes:Yes, empty:9392:No:No, BF-024:7962:Yes:No, WM-221:1244:No:No, WM-023:3488:No:No",257
20190110205748642,,2019-01-10T20:57:48.693Z,2019-01-10T20:57:48.642Z,1,4,p1,true,A3QSJY1FFN0N6V,35-44,female,caucasian,some-college,Age; Number of Prior Crimes; Crime Description; Felony/Misdemeanor Status; Juvenile Felony Count; Juvenile Misdemeanor Count; Gender; Ethnicity; Image; ,nxsehpeg0e7p87gyvwnb9yrb1,31,3," BM-025:10011:Yes:Yes, BM-034:8267:Yes:Yes, BF-203:8307:Yes:No, WM-013:4105:Yes:Yes, BM-003:3732:No:No, WM-018:5593:Yes:Yes, WM-023:4767:Yes:No, LM-201:9295:Yes:No, WM-011:8613:No:No, BM-019:2393:No:No, BM-010:9644:No:No, LM-200:8827:Yes:No, BM-015:1741:Yes:Yes, BM-021:1443:No:Yes, BM-009:5438:Yes:Yes, BM-012:10406:Yes:No, BM-013:8517:No:Yes, BF-027:10452:No:No, BF-213:3115:Yes:No, WF-221:1733:Yes:No, BF-211:61:Yes:No, WM-004:9435:No:No, BM-011:1441:No:Yes, WM-221:4841:No:No, LM-206:3957:No:No, BM-017:921:No:No, WF-002:6064:No:No, BM-033:855:No:No, BF-003:2182:Yes:Yes, BF-202:8104:No:No, BF-007:1022:No:No, BF-001:3635:Yes:No, BM-016:7678:Yes:Yes, WM-012:1642:No:No, WM-016:10044:No:Yes, WM-002:9924:No:Yes, BM-005:1024:No:No, LM-215:9501:No:No, WM-003:4766:Yes:Yes, BM-002:7652:Yes:Yes, BF-224:8938:No:No, WM-201:2910:No:No, BM-001:2719:No:Yes, BM-036:3398:Yes:Yes, WM-014:7324:No:No, BM-212:5557:No:Yes, WM-001:8141:No:No, BM-004:10307:Yes:No, WM-006:7412:No:Yes, BF-024:5647:No:Yes",398
20190110205840281,,2019-01-10T20:58:40.320Z,2019-01-10T20:58:40.281Z,12,4,p1,true,A2ZJS73XSSMRTD,25-34,male,caucasian,high-school,Crime Description; Felony/Misdemeanor Status; Number of Prior Crimes; Age; Juvenile Misdemeanor Count; Juvenile Felony Count; Gender; Ethnicity; Image; ,nxs0c309z7mo5i7x7l1k34nx1k1,27,3," WF-001:5454:No:Yes, empty:4371:No:No, BF-003:2765:No:No, WM-221:9785:No:No, empty:2140:Yes:No, BF-001:6000:No:Yes, BM-020:887:Yes:Yes, BM-018:4940:Yes:Yes, WM-002:7987:Yes:Yes, BM-029:4643:Yes:Yes, BM-038:9523:No:Yes, BM-011:1467:Yes:Yes, LM-201:8929:No:Yes, BF-002:3508:No:No, BM-016:1629:Yes:No, WM-003:9563:Yes:No, WF-221:8107:No:No, BM-041:4881:Yes:No, WM-001:7675:No:Yes, LM-202:10935:Yes:Yes, BM-015:1943:No:Yes, BM-013:8885:Yes:Yes, WM-023:2456:Yes:No, WM-004:2917:Yes:No, WM-018:163:No:No, BM-017:9303:No:No, BF-007:6574:No:Yes, BM-001:2959:Yes:No, BM-022:3022:Yes:No, WM-220:7640:Yes:Yes, WM-225:1578:No:No, BM-003:9953:Yes:Yes, empty:4186:No:No, LM-203:510:No:No, BM-004:603:Yes:No, BM-032:215:No:No, BM-034:7112:Yes:Yes, BM-010:3182:Yes:No, BM-002:8308:Yes:Yes, BM-005:7427:Yes:No, WF-026:6769:No:No, LM-215:7234:No:No, WM-201:4701:Yes:No, WF-240:9246:No:No, BM-009:10656:Yes:No, BM-012:2543:Yes:No, BM-021:5678:No:Yes, WF-014:1615:No:No, WF-237:5635:Yes:No, WM-006:9597:No:No",402
20190110205842128,,2019-01-10T20:58:42.160Z,2019-01-10T20:58:42.128Z,17,4,p1,true,A2UIGDOLX5RV95,18-24,female,caucasian,some-college,Number of Prior Crimes; Juvenile Misdemeanor Count; Juvenile Felony Count; Crime Description; Felony/Misdemeanor Status; ,nxsygond16wy2b1kqafme8inn1,24,3," BM-015:2772:No:Yes, BM-003:10997:Yes:No, empty:6939:Yes:No, WM-006:8747:Yes:Yes, BM-010:7455:No:No, empty:8703:No:No, BM-025:1526:Yes:No, BM-034:4596:No:Yes, BF-002:446:Yes:No, WM-023:3444:Yes:Yes, empty:9662:Yes:No, BM-018:5123:Yes:Yes, WM-002:6056:Yes:Yes, LF-201:1795:Yes:No, BM-212:3676:Yes:No, BM-002:2153:No:Yes, WF-221:6818:No:Yes, WM-221:9170:Yes:No, empty:10577:No:Yes, BM-017:2930:Yes:Yes, BM-004:2514:Yes:Yes, empty:8970:No:Yes, BM-009:10010:Yes:Yes, BF-203:4421:Yes:Yes, BF-007:10851:No:Yes, BM-011:7615:Yes:No, BM-005:2211:Yes:Yes, LM-200:1562:No:No, WM-018:3941:Yes:No, BM-020:2618:Yes:Yes, BM-012:5515:No:No, BF-001:8416:No:No, BM-013:5818:No:No, WM-009:4634:Yes:Yes, BM-021:6606:No:No, BM-001:10536:No:Yes, BM-037:8191:Yes:No, WM-011:10920:No:No, WM-001:5349:Yes:Yes, empty:2820:Yes:No, WF-014:222:Yes:No, LF-200:2410:Yes:No, LM-206:1004:No:Yes, WM-004:3229:Yes:No, WM-010:1329:Yes:Yes, BM-036:2448:No:Yes, WF-022:1153:Yes:Yes, LM-207:6911:No:Yes, empty:2767:Yes:Yes, WM-003:156:Yes:Yes",274
20190110205941932,,2019-01-10T20:59:41.965Z,2019-01-10T20:59:41.932Z,15,4,p1,true,A149ROBL26JWPJ,25-34,male,caucasian,bachelors,Number of Prior Crimes; Age; Crime Description; Juvenile Felony Count; Juvenile Misdemeanor Count; Felony/Misdemeanor Status; ,nxsw8z08md2xfshd8z07qqig51BB,33,3," WM-004:7320:Yes:Yes, WM-012:1196:No:No, WM-223:4288:No:No, WM-006:3805:No:Yes, LM-202:728:Yes:Yes, WM-011:10484:No:No, LM-215:7206:Yes:Yes, BM-021:3999:No:No, empty:2278:No:Yes, BM-003:7916:No:No, BM-012:5042:Yes:Yes, BM-010:9509:Yes:Yes, BM-015:7341:No:Yes, BM-034:2402:Yes:Yes, BM-019:9436:Yes:Yes, WM-018:6249:No:Yes, WF-002:2583:Yes:No, WF-014:990:No:No, BF-007:7166:No:No, LM-200:10660:No:Yes, WM-014:7807:Yes:Yes, WM-221:4931:No:Yes, WM-002:1241:No:Yes, WM-220:863:Yes:No, WM-013:5326:Yes:Yes, BM-025:4397:Yes:Yes, BM-004:70:No:No, LF-200:8866:No:No, WF-022:1452:No:Yes, BM-023:934:Yes:Yes, LM-201:9556:No:No, WM-023:5052:No:No, BM-002:5935:Yes:Yes, WM-003:963:No:No, BM-011:10894:Yes:No, BM-001:7459:Yes:Yes, empty:3774:No:No, empty:2632:Yes:No, WF-008:8223:Yes:No, WM-201:4159:No:Yes, WF-026:10871:No:No, BM-009:7894:No:No, empty:2438:No:No, BM-016:9136:Yes:No, BM-013:10509:Yes:No, LF-202:5951:No:No, LM-210:10271:Yes:No, WF-001:8728:No:No, BF-024:7868:No:No, BM-005:6864:Yes:Yes",400
20190110210035679,,2019-01-10T21:00:35.723Z,2019-01-10T21:00:35.679Z,2,4,p1,true,A207IHY6GERCFO,35-44,male,caucasian,bachelors,Number of Prior Crimes; Age; Felony/Misdemeanor Status; Crime Description; Juvenile Misdemeanor Count; Juvenile Felony Count; Gender; ,nxsvpdupjezbm6kriovy03po1BB,37,3," empty:3010:No:No, BM-003:1941:No:No, empty:3248:Yes:Yes, WF-001:7897:No:Yes, BM-017:7834:No:No, BM-005:7920:No:No, WF-003:5049:No:No, LM-200:9634:Yes:No, BM-022:5270:No:No, BM-004:913:Yes:Yes, BM-002:1103:No:No, WM-003:2525:No:No, BM-010:8046:Yes:Yes, WM-013:6884:No:No, AM-215:8162:No:No, WM-002:375:Yes:No, BM-213:6240:No:No, BM-012:9407:Yes:No, WF-005:408:No:No, BM-011:4546:No:Yes, WM-225:10748:No:No, BM-218:2703:No:No, BM-019:1361:Yes:Yes, BM-025:838:No:No, BM-021:6207:No:Yes, WM-223:4629:No:Yes, WM-012:726:Yes:Yes, WM-018:4977:Yes:Yes, BM-225:4161:No:Yes, WM-023:1066:No:No, BM-015:4098:Yes:Yes, BM-013:4640:Yes:Yes, BM-034:4943:Yes:Yes, empty:7032:No:No, WM-220:282:Yes:Yes, WM-221:2002:Yes:No, BF-024:1195:No:No, BM-020:1490:Yes:Yes, BM-016:10220:No:No, BM-018:794:Yes:Yes, empty:5500:Yes:No, WM-201:2034:No:No, empty:4991:Yes:Yes, BM-009:3647:No:No, WF-221:6189:No:No, WM-011:10502:No:No, BM-001:3854:No:Yes, WM-004:10423:No:Yes, BM-212:5765:Yes:No, BF-001:4860:No:No",318
20190110210132300,,2019-01-10T21:01:32.340Z,2019-01-10T21:01:32.300Z,8,4,p1,true,A3UV55HC87DO9C,25-34,male,caucasian,bachelors,Crime Description; Felony/Misdemeanor Status; Number of Prior Crimes; Juvenile Misdemeanor Count; Juvenile Felony Count; Age; ,nxspja28o812xnwxnb77twgc1,31,3," WM-006:4255:No:No, BM-011:7788:No:Yes, WM-223:7914:No:No, BM-021:3761:Yes:Yes, BM-002:4436:Yes:Yes, LM-200:763:Yes:Yes, WM-248:3585:No:Yes, BM-010:9031:Yes:Yes, WM-001:9488:No:Yes, BM-019:3056:No:No, LM-201:7445:No:Yes, BM-005:265:Yes:Yes, WM-010:7257:No:Yes, WM-024:4730:No:Yes, WM-004:6443:Yes:No, WM-221:189:Yes:No, BM-034:6205:Yes:Yes, BM-001:10836:Yes:Yes, empty:2396:No:No, BM-013:956:Yes:Yes, LM-215:3146:No:Yes, BM-004:1904:No:No, WM-015:7754:No:Yes, WF-001:10499:Yes:Yes, WM-017:829:Yes:Yes, WF-002:7340:No:Yes, WM-003:8045:Yes:Yes, BF-001:2121:Yes:No, WM-002:1834:No:No, empty:10498:No:No, empty:765:Yes:Yes, BM-020:122:Yes:Yes, WM-023:2078:Yes:Yes, BM-025:10979:No:No, WM-009:9832:Yes:Yes, BM-009:1796:No:Yes, WM-018:3483:No:No, BF-003:8526:No:No, BM-022:8835:Yes:No, BM-003:5485:No:Yes, LM-206:7723:No:No, WM-019:5553:No:No, BM-012:6658:Yes:Yes, BM-018:9747:Yes:Yes, BM-017:4076:Yes:No, WM-201:363:Yes:Yes, LM-226:8036:Yes:No, BM-015:5224:No:Yes, BM-212:8278:Yes:Yes, BM-016:5354:No:Yes",278
20190110210204824,,2019-01-10T21:02:04.864Z,2019-01-10T21:02:04.824Z,20,4,p1,true,A177IPRYZAEFH6,35-44,female,caucasian,some-college,Gender; Age; Crime Description; Felony/Misdemeanor Status; Number of Prior Crimes; Juvenile Misdemeanor Count; ,nxsyix3hdavros9jmu8ko1490,20,2," BM-012:9473:Yes:No, LM-201:5103:Yes:No, BM-018:5877:Yes:No, WM-023:10289:No:Yes, BM-002:1331:No:Yes, empty:7923:No:Yes, BM-001:9442:Yes:Yes, BM-037:7153:Yes:No, BF-001:10012:No:Yes, WM-018:10377:No:No, WF-221:3679:Yes:Yes, WM-201:9337:Yes:No, BM-029:10394:Yes:No, WM-004:7023:No:No, BM-004:9875:Yes:Yes, BF-003:9581:No:No, BM-003:2310:No:No, BM-034:3285:No:Yes, AM-215:3919:No:Yes, WM-010:1216:Yes:No, WF-014:4809:Yes:Yes, LM-202:4553:No:No, BM-019:1670:No:Yes, WM-002:8207:No:Yes, BF-005:7722:No:Yes, BM-022:8876:No:No, BM-017:173:Yes:Yes, BF-007:5297:No:Yes, BM-013:6391:Yes:Yes, BM-015:2507:Yes:No, empty:1215:No:No, BF-004:203:Yes:No, BM-024:10720:No:Yes, WM-015:7975:No:Yes, WM-009:10068:No:No, BM-020:3236:No:Yes, BM-011:6315:Yes:Yes, empty:6788:No:No, WM-006:5997:Yes:No, BM-009:1283:No:Yes, BM-016:2934:No:Yes, BM-023:5001:No:Yes, WF-026:4536:No:No, WM-017:7945:Yes:No, BM-005:3869:No:No, empty:4774:Yes:No, BM-036:3273:No:Yes, WM-003:3511:Yes:No, WM-221:3205:No:No, BM-010:9165:No:No",390
20190110210311430,,2019-01-10T21:03:11.464Z,2019-01-10T21:03:11.430Z,4,4,p1,true,A2MKXI4KCRRI7Y,25-34,male,caucasian,masters,Number of Prior Crimes; Felony/Misdemeanor Status; Crime Description; Age; Juvenile Felony Count; Juvenile Misdemeanor Count; ,nxsng7q10waf0d8o5nrw6jpvc1BB,37,3," BM-004:9919:No:No, BF-024:7517:No:No, WM-024:1856:No:No, BF-007:7830:No:Yes, BF-001:9586:Yes:Yes, empty:5985:No:No, WF-001:5127:Yes:No, empty:3315:No:No, BM-023:10150:Yes:Yes, LF-200:9609:Yes:Yes, BM-019:1166:Yes:Yes, WM-012:9231:Yes:No, BM-005:1162:Yes:Yes, BM-010:9933:Yes:Yes, WM-004:5830:Yes:No, BM-017:10137:No:No, WM-002:4558:No:No, empty:10709:No:No, WM-011:5449:No:No, WM-018:9242:No:No, LM-206:6546:Yes:No, empty:9328:No:No, WF-221:10958:No:No, BM-212:3794:No:Yes, LM-226:9399:No:Yes, BM-016:9336:Yes:No, LM-215:4193:No:No, WM-001:9352:Yes:No, BM-012:10700:Yes:Yes, BM-009:2228:Yes:Yes, BF-211:685:No:Yes, BM-002:1385:Yes:Yes, BM-003:5489:Yes:Yes, BM-020:42:Yes:Yes, WF-237:4117:No:No, BM-024:9686:No:No, WF-002:7437:Yes:Yes, BM-026:7199:No:No, BM-034:853:No:No, BF-027:6171:No:No, BF-203:2773:Yes:Yes, BM-011:4290:No:No, BM-022:9820:No:No, BM-018:8532:No:No, BM-015:9467:No:Yes, WM-023:10591:Yes:Yes, BM-013:3848:Yes:Yes, WM-003:3738:Yes:No, BM-001:8924:No:Yes, LM-200:6386:Yes:Yes",429
20190110210316270,,2019-01-10T21:03:16.309Z,2019-01-10T21:03:16.270Z,6,4,p1,true,AR1IWBDA7MC86,25-34,male,caucasian,associates,Number of Prior Crimes; Crime Description; Age; Felony/Misdemeanor Status; Juvenile Felony Count; Juvenile Misdemeanor Count; ,nxsitukhbekyepwy5c0806tn1,31,3," WF-002:206:No:Yes, BM-004:4101:Yes:Yes, WM-011:5923:Yes:No, WM-010:5134:No:Yes, empty:7472:No:No, BM-022:5330:No:Yes, empty:7555:No:No, BM-002:2758:Yes:No, BM-012:7348:Yes:No, BM-003:2476:Yes:Yes, LM-201:893:No:No, WM-009:6379:Yes:No, WM-018:1865:No:No, BF-001:4404:Yes:Yes, WM-023:6229:Yes:Yes, BM-033:8881:Yes:Yes, BM-212:8054:Yes:No, WM-004:8188:Yes:No, BF-027:9405:Yes:Yes, BF-009:227:Yes:Yes, WM-001:9150:No:Yes, BF-203:4686:No:No, BF-024:7578:No:No, BF-007:5575:Yes:Yes, WM-012:3790:Yes:No, LM-215:6424:No:No, BM-017:7985:Yes:No, BM-020:4967:Yes:Yes, LM-226:2605:No:No, WM-221:9045:No:No, WM-249:3215:No:No, BM-001:8882:Yes:Yes, BM-021:4637:Yes:Yes, WM-019:552:Yes:Yes, BM-029:4907:Yes:Yes, BM-025:3289:Yes:No, WM-017:10008:Yes:Yes, WM-223:8905:No:No, BM-034:800:No:Yes, WM-003:4258:Yes:No, WM-006:8248:Yes:Yes, BF-211:5852:No:No, BM-011:6908:Yes:Yes, LM-203:10878:No:Yes, WM-015:7259:Yes:No, WM-248:9830:Yes:No, WM-013:10491:No:No, LM-200:9437:Yes:No, BM-018:2955:No:No, WM-002:4226:Yes:Yes",405
