block_id,def_id,ground_truth,compas_score,dartmouth_score,study1_condition1,study1_condition2,study1_condition3,study1_condition4,study2_condition1,study2_condition2,study1_image_id,study2_image_id_black,study2_image_id_white,def_age,def_gender,def_race,def_juv_fel,def_juv_misd,def_priors,def_charge_degree
1,61,0,2,15,18,20,19,20,15,18, BF-211, BF-211, WF-237,51,1,2,0,0,7,1
1,855,0,1,5,1,5,3,6,8,7, BM-033, BM-025, WM-201,38,0,2,0,0,0,1
1,921,0,7,6,9,9,5,8,9,8, BM-017, BM-022, WM-016,30,0,2,0,0,1,0
1,1022,0,1,3,1,3,3,0,3,2, BF-007, BF-007, WF-002,31,1,2,0,0,0,0
1,1024,0,2,5,9,8,9,5,8,6, BM-005, BM-013, WM-015,27,0,2,0,0,0,0
1,1441,1,5,5,6,11,6,6,10,12, BM-011, BM-018, WM-013,30,0,2,0,0,1,0
1,1443,1,5,4,6,7,4,3,6,9, BM-021, BM-033, WM-220,45,0,2,0,0,0,1
1,1642,0,6,8,7,14,9,8,9,12, WM-012, BM-004, WM-002,29,0,1,0,0,1,0
1,1733,0,7,14,17,19,20,20,17,17, WF-221, BF-224, WF-240,52,1,1,0,0,6,0
1,1741,1,6,18,20,18,19,18,18,18, BM-015, BM-005, WM-009,24,0,2,0,0,5,1
1,2182,1,6,11,12,13,9,13,12,12, BF-003, BF-003, WF-003,26,1,2,0,0,1,1
1,2393,0,3,10,8,9,7,7,6,10, BM-019, BM-015, WM-017,22,0,2,0,0,0,1
1,2719,1,4,9,9,14,10,11,8,9, BM-001, BM-003, WM-006,23,0,2,0,0,1,1
1,2910,0,4,1,5,1,0,2,5,3, WM-201, BM-021, WM-023,42,0,1,0,0,0,0
1,3115,0,4,19,18,20,20,20,20,18, BF-213, BF-024, WF-014,40,1,2,0,0,7,0
1,3398,1,10,19,18,20,20,19,18,19, BM-036, BM-037, WM-025,21,0,2,1,2,3,1
1,3635,0,4,12,15,17,15,14,15,16, BF-001, BF-001, WF-001,24,1,2,0,0,2,1
