blockID,defID,turkScore0,turkScore1,turkScore2,groundTruth,compasScore,defAge,defGender,defRace,defJuvFelCount,defJuvMisdCount,defPriorsCount,defChargeDegree
1,1024,8,6,5,0,2,27,0,2,0,0,0,0
1,10307,17,18,19,0,6,31,0,2,2,0,6,1
1,10406,11,12,16,0,7,43,0,2,0,0,2,1
1,10452,2,2,3,0,1,44,1,2,0,0,0,1
1,1443,6,9,3,1,5,45,0,2,0,0,0,1
1,1733,17,17,20,0,7,52,1,1,0,0,6,0
1,2719,8,9,11,1,4,23,0,2,0,0,1,1
1,3398,18,19,19,1,10,21,0,2,1,2,3,1
1,3732,5,5,6,0,1,26,0,2,0,0,1,0
1,4766,16,19,16,1,9,26,0,1,0,0,2,1
1,4767,16,15,18,0,2,39,0,1,0,0,3,1
1,5438,12,11,12,1,10,20,0,2,0,0,1,1
1,5557,4,7,7,1,4,51,0,2,0,0,0,0
1,5593,14,15,18,1,4,37,0,1,0,0,4,0
1,5647,2,2,1,1,1,42,1,2,0,0,0,0
1,6064,2,2,1,0,2,31,1,1,0,0,0,0
1,61,15,18,20,0,2,51,1,2,0,0,7,1
1,7652,19,19,18,1,8,25,0,2,0,0,8,1
1,8104,19,19,19,0,6,42,1,2,0,0,16,1
1,8141,1,1,0,0,4,21,0,1,0,0,0,1
1,8267,12,14,15,1,3,46,0,2,0,0,3,1
1,8307,16,13,18,0,6,53,1,2,0,0,5,1
1,8613,11,12,14,0,2,33,0,1,0,0,2,0
1,8827,17,18,19,0,3,26,0,3,0,0,5,1
1,9924,6,8,11,1,3,29,0,1,0,0,0,1
10,10807,15,16,13,1,9,25,0,1,0,0,3,0
10,1522,14,16,13,0,7,23,0,2,0,0,2,0
10,1841,6,10,4,0,3,37,1,1,0,0,1,0
10,2165,2,2,4,1,1,53,0,2,0,0,0,0
10,2400,19,19,20,0,8,30,0,2,0,2,11,1
10,2687,2,1,3,0,1,54,0,1,0,0,0,0
10,3055,14,14,13,0,2,61,0,2,0,0,5,1
10,3084,16,15,18,0,4,50,1,2,0,0,7,0
10,3641,1,4,3,0,6,26,0,1,0,0,0,0
10,4520,15,14,18,1,6,30,1,2,0,0,3,1
10,4524,10,5,7,0,4,20,0,1,0,0,0,1
10,4748,2,2,1,0,3,30,1,2,0,0,0,0
10,4870,10,5,7,0,2,24,0,1,0,0,1,0
10,5249,1,4,3,0,4,28,0,2,0,0,0,1
10,5369,2,2,0,0,1,45,0,2,0,0,0,0
10,5372,5,5,6,0,2,29,1,2,0,0,0,1
10,5673,19,17,20,1,6,32,0,2,0,0,10,1
10,5968,16,17,18,1,4,57,0,1,0,0,9,1
10,6360,6,2,9,0,3,39,0,1,0,0,0,1
10,6449,17,18,18,1,5,51,0,2,0,0,11,0
10,657,17,16,19,1,10,24,1,2,0,0,3,1
10,8563,8,7,4,0,2,27,0,3,0,0,1,0
10,8863,14,17,19,1,6,31,0,3,0,0,5,1
10,9495,16,16,18,1,7,21,0,3,0,1,2,1
10,9831,1,4,2,1,2,29,0,3,0,0,0,0
11,10169,2,2,1,1,7,33,0,1,0,0,0,0
11,10703,20,20,20,0,7,43,0,2,0,1,23,1
11,1191,7,1,4,1,4,22,0,1,0,0,0,1
11,2152,15,14,15,0,2,42,1,2,0,0,2,1
11,2638,1,3,0,0,4,23,0,1,0,0,0,0
11,266,12,12,12,0,1,54,0,3,0,0,2,1
11,2898,1,1,0,0,3,31,1,1,0,0,0,0
11,2907,20,20,20,1,6,22,0,2,0,0,3,1
11,3412,1,6,0,0,2,25,0,1,0,0,0,0
11,3950,17,18,17,1,9,38,0,1,0,0,3,1
11,469,5,6,11,1,10,20,0,2,0,0,0,1
11,5506,19,19,18,1,5,24,0,1,0,0,3,1
11,5689,15,17,17,0,4,22,0,1,0,0,1,1
11,6339,19,20,18,1,5,49,0,2,0,0,11,0
11,6668,0,1,0,1,2,29,0,2,0,0,0,0
11,7247,17,18,18,1,5,24,1,2,0,0,2,1
11,7508,0,2,0,0,1,44,0,3,0,0,0,0
11,8258,20,20,18,1,7,26,0,2,0,0,6,1
11,8403,4,3,4,1,4,19,0,2,0,0,0,1
11,8534,20,20,19,1,5,44,1,1,0,0,10,1
11,8565,19,20,19,1,10,30,0,2,0,0,13,1
11,8777,16,15,15,0,4,21,0,1,0,0,1,1
11,8939,4,6,7,0,4,26,1,2,0,0,1,0
11,9172,5,6,10,0,7,21,0,2,0,0,0,1
11,9484,4,5,5,0,2,41,1,1,0,0,1,0
12,1467,19,20,19,1,7,29,0,2,0,0,10,1
12,1615,5,6,3,0,1,38,1,1,0,0,0,1
12,163,8,7,8,0,1,43,0,1,0,0,1,1
12,2140,6,8,4,0,1,59,1,1,0,0,1,1
12,2456,17,18,19,0,6,43,0,1,0,0,9,1
12,2543,20,19,20,0,8,37,0,2,2,3,24,1
12,2917,14,17,17,0,4,26,0,1,0,0,3,0
12,2959,8,10,13,0,7,26,0,2,0,0,2,0
12,3022,15,17,17,0,5,35,0,2,0,0,4,0
12,3182,10,9,10,0,5,25,0,2,0,0,2,1
12,4371,0,1,1,0,1,57,0,1,0,0,0,0
12,4940,16,16,18,1,10,34,0,2,0,0,9,1
12,5635,7,10,10,0,1,52,1,1,0,0,3,0
12,603,17,17,17,0,5,29,0,2,1,0,2,1
12,6769,4,4,5,0,2,40,1,1,0,0,0,1
12,7427,19,17,17,0,8,27,0,2,0,0,8,0
12,7987,20,20,20,1,9,29,0,1,4,1,10,1
12,8107,4,5,3,0,1,49,1,1,0,0,1,0
12,8308,17,18,18,1,7,27,0,2,1,0,6,1
12,887,15,18,17,1,6,30,0,2,0,0,5,1
12,8885,6,9,9,1,8,22,0,2,0,1,1,1
12,8929,3,5,4,1,2,30,0,3,0,0,1,1
12,9303,0,1,2,0,9,30,0,2,0,0,0,0
12,9563,7,4,11,0,6,22,0,1,0,0,1,1
12,9953,11,11,12,1,3,23,0,2,0,0,1,1
13,10243,1,2,0,0,3,29,1,3,0,0,0,0
13,10449,14,15,13,0,2,51,1,2,0,0,3,0
13,1244,15,15,12,0,4,47,0,1,0,0,2,1
13,1874,8,8,6,0,4,28,1,1,0,0,1,0
13,210,19,17,18,1,7,32,0,2,0,0,3,1
13,2446,7,4,8,1,3,23,0,1,0,0,0,1
13,2484,1,1,2,0,1,50,0,1,0,0,0,0
13,2654,18,16,19,0,7,27,0,2,0,0,3,0
13,2865,18,15,20,1,4,22,0,2,0,0,2,1
13,3113,15,14,17,1,3,34,0,3,0,0,2,1
13,366,13,16,12,1,8,22,0,1,0,0,1,0
13,4612,17,19,20,1,7,31,0,1,0,0,4,1
13,5128,8,6,5,0,2,39,0,3,0,0,1,0
13,5535,12,10,18,1,6,21,0,1,0,0,1,1
13,5921,20,19,18,1,3,52,0,1,0,0,4,0
13,6570,18,16,15,0,4,47,0,1,0,0,2,1
13,6661,6,5,3,0,2,24,0,1,0,0,0,1
13,7381,4,4,1,0,6,43,1,2,0,0,0,1
13,7488,8,3,7,1,8,21,0,2,0,0,0,1
13,7581,8,10,6,1,1,27,0,2,0,0,0,0
13,7962,1,2,1,0,1,41,1,2,0,0,0,1
13,8000,16,12,13,1,3,26,1,2,0,0,1,1
13,8285,19,20,20,1,6,28,0,2,0,0,8,0
13,8761,17,18,20,1,2,32,0,1,0,0,4,0
13,9392,6,8,4,0,5,53,0,1,0,0,1,0
14,10359,9,11,10,0,6,25,0,2,0,0,2,0
14,1250,19,19,19,1,8,35,0,2,0,0,13,1
14,1325,1,0,0,0,1,52,1,2,0,0,0,1
14,1604,14,16,11,1,5,36,0,2,0,0,4,0
14,2220,19,20,19,1,4,52,0,2,0,0,15,0
14,2537,0,0,0,0,2,27,1,2,0,0,0,0
14,2766,18,18,19,1,8,28,0,2,0,0,8,1
14,3337,20,20,19,1,8,32,0,2,0,0,14,1
14,3387,6,8,9,1,1,52,0,2,0,0,1,0
14,3818,1,5,6,0,4,23,0,2,0,0,1,0
14,3925,4,3,7,1,3,22,0,2,0,0,0,1
14,4335,1,4,7,0,9,37,0,2,0,0,0,1
14,4336,6,3,7,0,4,23,0,2,0,0,1,1
14,5634,0,0,1,0,1,39,0,1,0,0,0,1
14,622,0,0,3,0,6,39,1,1,0,0,0,0
14,6320,19,20,20,1,10,39,0,2,0,0,21,1
14,6525,3,4,9,1,1,51,0,1,0,0,1,1
14,7355,4,11,10,0,3,35,1,1,0,0,2,0
14,7607,6,10,9,0,3,23,1,2,0,0,1,1
14,8140,20,19,20,1,10,31,0,2,3,0,16,1
14,8239,19,20,19,0,10,28,0,2,0,0,7,1
14,8379,1,1,1,0,1,76,0,4,0,0,0,1
14,8681,20,18,19,1,9,33,0,2,0,0,12,1
14,9129,10,11,13,0,6,26,0,2,0,0,2,1
14,98,19,16,18,1,6,27,0,2,0,1,6,1
15,10271,7,10,10,0,3,33,0,3,0,0,2,0
15,10509,17,16,20,0,7,25,0,2,0,1,3,1
15,10660,4,2,5,1,2,23,0,3,0,0,0,0
15,2402,19,19,20,1,7,46,0,2,0,0,15,1
15,2438,1,2,2,0,1,67,0,4,0,0,0,0
15,2583,16,16,15,0,3,35,1,1,0,0,4,1
15,2632,15,15,17,0,1,56,0,1,0,0,4,1
15,3999,8,7,10,0,1,41,0,2,0,0,1,1
15,4159,8,5,7,1,2,41,0,1,0,0,1,1
15,5042,19,20,20,1,7,45,0,2,0,0,13,0
15,5052,2,3,4,0,4,44,0,1,0,0,0,1
15,5935,18,19,20,1,4,24,0,2,0,0,3,1
15,6249,10,9,16,1,3,38,0,1,0,0,2,1
15,6864,19,20,19,1,10,26,0,2,0,0,6,0
15,70,2,2,4,0,4,29,0,2,0,0,0,1
15,7206,19,19,19,1,2,37,0,3,0,0,6,1
15,728,19,17,19,1,1,34,0,3,0,0,4,1
15,7320,18,17,19,1,8,22,0,1,0,2,3,1
15,7459,19,20,20,1,8,26,0,2,0,0,10,1
15,7868,2,3,4,0,3,37,1,2,0,0,0,1
15,7916,3,4,7,0,7,25,0,2,0,0,0,1
15,8866,7,6,6,0,3,34,1,3,0,0,1,0
15,9509,20,19,19,1,7,27,0,2,0,0,9,1
15,9556,7,10,14,0,2,30,0,3,0,0,1,1
15,963,10,7,15,0,5,25,0,1,0,0,1,1
16,10659,18,17,20,1,10,30,0,2,0,1,18,1
16,1787,2,4,3,0,5,24,0,2,0,0,0,1
16,2291,3,5,2,0,1,72,0,1,0,0,1,0
16,2874,17,16,14,1,2,33,0,2,0,0,2,0
16,3674,1,1,0,0,2,32,1,2,0,0,0,1
16,4112,9,10,13,0,3,21,0,2,0,0,1,1
16,4534,2,1,0,0,2,32,1,2,0,0,0,0
16,4641,9,2,5,0,4,35,1,1,0,0,1,0
16,533,2,1,2,1,5,23,1,2,0,0,0,1
16,6278,4,3,4,0,2,30,1,2,0,0,0,1
16,6432,16,16,15,0,5,42,1,1,0,0,3,1
16,654,2,1,3,0,1,33,0,1,0,0,0,1
16,67,20,17,20,1,8,35,0,2,1,0,13,1
16,6791,19,18,16,0,1,57,0,2,0,0,3,1
16,6875,9,8,11,0,8,22,0,1,0,0,0,1
16,692,20,17,19,1,5,29,0,2,0,0,3,1
16,7037,20,19,20,1,10,26,0,2,0,1,6,1
16,7051,3,2,8,0,1,56,0,2,0,0,1,1
16,7948,3,2,2,0,6,27,0,2,0,0,0,1
16,8724,20,18,20,1,9,42,0,2,1,0,7,1
16,9072,15,17,15,1,7,37,0,2,0,0,4,0
16,9106,18,20,18,1,2,32,1,1,0,0,2,1
16,9632,10,12,14,0,1,46,0,1,0,0,1,1
16,9914,20,18,19,1,4,23,0,1,0,1,4,0
16,9942,5,3,2,0,1,46,0,3,0,0,0,1
17,10010,6,6,6,1,9,21,0,2,0,0,0,1
17,10536,18,20,18,1,9,26,0,2,0,0,8,1
17,10920,18,16,17,0,5,34,0,1,0,0,4,1
17,10997,3,2,2,0,3,23,0,2,0,0,0,1
17,156,19,20,16,1,6,24,0,1,0,1,8,1
17,2153,18,20,18,1,8,22,0,2,0,0,3,1
17,2211,19,19,19,1,7,24,0,2,0,0,5,1
17,222,4,2,3,0,1,43,1,1,0,0,0,0
17,2410,16,14,18,0,4,33,1,3,0,0,2,0
17,2448,10,9,7,1,8,21,0,2,0,0,0,1
